rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,66800,9613,Python,https://github.com/langchain-ai/langchain,langchain-ai,1651,2023-11-03T02:44:25Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt4all,54122,5926,C++,https://github.com/nomic-ai/gpt4all,nomic-ai,242,2023-11-02T21:27:09Z,gpt4all: open-source LLM chatbots that you can run anywhere
3,LLM,gpt_academic,44776,5873,Python,https://github.com/binary-husky/gpt_academic,binary-husky,290,2023-11-02T03:36:40Z,"为ChatGPT/GLM提供实用化交互界面，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm2等本地模型。兼容文心一言, moss, llama2, rwkv, claude2, 通义千问, 书生, 讯飞星火等。"
4,LLM,MetaGPT,30262,3520,Python,https://github.com/geekan/MetaGPT,geekan,146,2023-11-03T03:15:24Z,"🌟 The Multi-Agent Framework: Given one line Requirement, return PRD, Design, Tasks, Repo"
5,LLM,quivr,23980,2575,TypeScript,https://github.com/StanGirard/quivr,StanGirard,141,2023-11-02T18:20:48Z,"🧠 Your Second Brain supercharged by Generative AI 🧠 Dump all your files and chat with your personal assistant on your files & more using GPT 3.5/4, Private, Anthropic, VertexAI, LLMs..."
6,LLM,milvus,23790,2581,Go,https://github.com/milvus-io/milvus,milvus-io,440,2023-11-03T03:09:47Z,"A cloud-native vector database, storage for next generation AI applications"
7,LLM,llama_index,23185,2823,Python,https://github.com/run-llama/llama_index,run-llama,182,2023-11-03T02:16:58Z,LlamaIndex (formerly GPT Index) is a data framework for your LLM applications
8,LLM,JARVIS,22035,1893,Python,https://github.com/microsoft/JARVIS,microsoft,69,2023-10-24T17:41:40Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
9,LLM,mindsdb,18717,2514,Python,https://github.com/mindsdb/mindsdb,mindsdb,512,2023-11-03T00:35:17Z,MindsDB connects AI models to real time data
10,LLM,Langchain-Chatchat,17686,2994,Python,https://github.com/chatchat-space/Langchain-Chatchat,chatchat-space,38,2023-11-03T03:01:03Z,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM 等语言模型的本地知识库问答 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM) QA app with langchain "
