rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,47668,5672,Python,https://github.com/hwchase17/langchain,hwchase17,1535,2023-06-15T02:45:31Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt_academic,35895,4468,Python,https://github.com/binary-husky/gpt_academic,binary-husky,281,2023-06-14T18:11:09Z,"为ChatGPT/GLM提供图形交互界面，特别优化论文阅读润色体验，模块化设计支持自定义快捷按钮&函数插件，支持代码块表格显示，Tex公式双显示，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持清华chatglm等本地模型。兼容复旦MOSS, llama, rwkv, 盘古, newbing, claude等"
3,LLM,JARVIS,20993,1719,Python,https://github.com/microsoft/JARVIS,microsoft,60,2023-06-09T22:52:32Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
4,LLM,milvus,19904,2256,Go,https://github.com/milvus-io/milvus,milvus-io,518,2023-06-15T03:14:39Z,"A cloud-native vector database, storage for next generation AI applications"
5,LLM,llama_index,17378,1868,Python,https://github.com/jerryjliu/llama_index,jerryjliu,286,2023-06-15T01:04:51Z,LlamaIndex (GPT Index) is a data framework for your LLM applications
6,LLM,mindsdb,16561,2128,Python,https://github.com/mindsdb/mindsdb,mindsdb,580,2023-06-15T01:58:59Z,MindsDB is a Server for Artificial Intelligence Logic. Enabling developers to ship AI powered projects to production in a fast and scalable way. 
7,LLM,unilm,12759,1866,Python,https://github.com/microsoft/unilm,microsoft,334,2023-06-13T09:58:59Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
8,LLM,chatbox,12694,1315,TypeScript,https://github.com/Bin-Huang/chatbox,Bin-Huang,281,2023-06-14T18:44:28Z,"Chatbox is a desktop app for GPT/LLM that supports Windows, Mac, Linux & Web Online"
9,LLM,dalai,12035,1382,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,291,2023-06-12T17:24:00Z,The simplest way to run LLaMA on your local machine
10,LLM,ChuanhuChatGPT,11135,1727,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,53,2023-06-15T01:40:23Z,GUI for ChatGPT API and many LLMs
11,LLM,Chinese-LLaMA-Alpaca,10984,1143,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,55,2023-06-15T03:17:12Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
12,LLM,evals,10544,2010,Python,https://github.com/openai/evals,openai,61,2023-06-15T00:13:32Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
13,LLM,semantic-kernel,10176,1312,C#,https://github.com/microsoft/semantic-kernel,microsoft,100,2023-06-15T03:02:19Z,Integrate cutting-edge LLM technology quickly and easily into your apps
14,LLM,mlc-llm,9877,643,Python,https://github.com/mlc-ai/mlc-llm,mlc-ai,57,2023-06-14T20:58:40Z,"Enable everyone to develop, optimize and deploy AI models natively on everyone's devices."
15,LLM,haystack,9133,1239,Python,https://github.com/deepset-ai/haystack,deepset-ai,314,2023-06-14T17:02:41Z,":mag: Haystack is an open source NLP framework to interact with your data using Transformer models and LLMs (GPT-4, ChatGPT and alike). Haystack offers production-ready tools to quickly build complex question answering, semantic search, text generation applications, and more."
16,LLM,langchain-ChatGLM,9127,1272,Python,https://github.com/imClumsyPanda/langchain-ChatGLM,imClumsyPanda,312,2023-06-14T17:55:15Z,"langchain-ChatGLM, local knowledge based ChatGLM with langchain ｜ 基于本地知识库的 ChatGLM 问答"
17,LLM,RWKV-LM,8420,563,Python,https://github.com/BlinkDL/RWKV-LM,BlinkDL,21,2023-06-07T03:26:42Z,"RWKV is an RNN with transformer-level LLM performance. It can be directly trained like a GPT (parallelizable). So it's combining the best of RNN and transformer - great performance, fast inference, saves VRAM, fast training, ""infinite"" ctx_len, and free sentence embedding."
18,LLM,Flowise,8351,2189,TypeScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,62,2023-06-15T02:04:44Z,Drag & drop UI to build your customized LLM flow using LangchainJS
19,LLM,SuperAGI,7552,728,Python,https://github.com/TransformerOptimus/SuperAGI,TransformerOptimus,138,2023-06-15T02:55:49Z,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably."
20,LLM,pandas-ai,7185,482,Python,https://github.com/gventuri/pandas-ai,gventuri,35,2023-06-14T20:01:06Z,"Pandas AI is a Python library that integrates generative artificial intelligence capabilities into Pandas, making dataframes conversational"
21,LLM,peft,7034,498,Python,https://github.com/huggingface/peft,huggingface,126,2023-06-15T02:06:19Z,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.
22,LLM,LocalAI,6903,659,Go,https://github.com/go-skynet/LocalAI,go-skynet,65,2023-06-14T20:05:42Z,":robot: Self-hosted, community-driven, local OpenAI-compatible API. Drop-in replacement for OpenAI running LLMs on consumer-grade hardware. Free Open Source OpenAI alternative. No GPU required. LocalAI is an API to run ggml compatible models: llama, gpt4all, rwkv, whisper, vicuna, koala, gpt4all-j, cerebras, falcon, dolly, starcoder, and many other"
23,LLM,open-llms,6428,309,,https://github.com/eugeneyan/open-llms,eugeneyan,2,2023-06-05T16:48:13Z,📋 A list of open LLMs available for commercial use.
24,LLM,web-llm,6327,341,TypeScript,https://github.com/mlc-ai/web-llm,mlc-ai,51,2023-05-30T21:55:19Z,Bringing large-language models and chat to web browsers. Everything runs inside the browser with no server support.
25,LLM,deeplake,6155,476,Python,https://github.com/activeloopai/deeplake,activeloopai,45,2023-06-14T21:10:54Z,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai"
26,LLM,qlora,5820,449,Jupyter Notebook,https://github.com/artidoro/qlora,artidoro,113,2023-06-15T02:29:59Z,QLoRA: Efficient Finetuning of Quantized LLMs
27,LLM,e2b,5113,445,Python,https://github.com/e2b-dev/e2b,e2b-dev,2,2023-06-15T02:28:20Z,"Developer-first AgentOps platform - deploy, test, and monitor AI agents"
28,LLM,LLMsPracticalGuide,5046,326,,https://github.com/Mooler0410/LLMsPracticalGuide,Mooler0410,6,2023-05-29T05:26:55Z,"A curated list of practical guide resources of LLMs (LLMs Tree, Examples, Papers)"
29,LLM,openplayground,4809,316,TypeScript,https://github.com/nat/openplayground,nat,40,2023-06-10T02:32:53Z,An LLM playground you can run on your laptop
30,LLM,Awesome-LLM,4628,308,,https://github.com/Hannibal046/Awesome-LLM,Hannibal046,0,2023-06-10T20:34:10Z,Awesome-LLM: a curated list of Large Language Model
31,LLM,dify,4603,640,TypeScript,https://github.com/langgenius/dify,langgenius,38,2023-06-15T02:46:16Z,"One API for plugins and datasets, one interface for prompt engineering and visual operation, all for creating powerful AI applications."
32,LLM,wenda,4104,509,JavaScript,https://github.com/wenda-LLM/wenda,wenda-LLM,9,2023-06-15T01:49:42Z,闻达：一个LLM调用平台。目标为针对特定环境的高效内容生成，同时考虑个人和中小企业的计算资源局限性，以及知识安全和私密性问题
33,LLM,PentestGPT,4031,402,Python,https://github.com/GreyDGL/PentestGPT,GreyDGL,15,2023-06-14T14:13:32Z,A GPT-empowered penetration testing tool
34,LLM,llm,3961,197,Rust,https://github.com/rustformers/llm,rustformers,40,2023-06-14T18:46:35Z,An ecosystem of Rust libraries for working with large language models
35,LLM,DB-GPT,3917,534,Python,https://github.com/csunny/DB-GPT,csunny,43,2023-06-15T02:45:57Z,Revolutionizing Database Interactions with Private LLM Technology
36,LLM,gorilla,3878,238,Python,https://github.com/ShishirPatil/gorilla,ShishirPatil,10,2023-06-13T09:38:17Z,Gorilla: An API store for LLMs
37,LLM,GPTCache,3835,238,Python,https://github.com/zilliztech/GPTCache,zilliztech,10,2023-06-14T13:27:48Z,Semantic cache for LLMs. Fully integrated with LangChain and llama_index. 
38,LLM,CodeGen,3743,268,Python,https://github.com/salesforce/CodeGen,salesforce,21,2023-06-12T21:45:25Z,CodeGen is an open-source model for program synthesis. Trained on TPU-v4. Competitive with OpenAI Codex.
39,LLM,Bard-API,3412,429,Python,https://github.com/dsdanielpark/Bard-API,dsdanielpark,7,2023-06-13T10:26:23Z,The unofficial python package that returns response of Google Bard through cookie value.
40,LLM,chatgpt-wrapper,3332,445,Python,https://github.com/mmabrouk/chatgpt-wrapper,mmabrouk,8,2023-06-15T00:25:42Z,API for interacting with ChatGPT and GPT4 using Python and from Shell.
41,LLM,postgresml,3263,123,Rust,https://github.com/postgresml/postgresml,postgresml,52,2023-06-15T00:05:30Z,"PostgresML is an AI application database. Download open source models from Huggingface, or train your own, to create and index LLM embeddings, generate text, or make online predictions using only SQL. "
42,LLM,Learn_Prompting,3234,481,TeX,https://github.com/trigaten/Learn_Prompting,trigaten,91,2023-06-14T18:38:13Z,
43,LLM,researchgpt,3145,292,Python,https://github.com/mukulpatnaik/researchgpt,mukulpatnaik,4,2023-06-10T09:35:56Z,A LLM based research assistant that allows you to have a conversation with a research paper
44,LLM,OpenChat,3115,271,Blade,https://github.com/openchatai/OpenChat,openchatai,27,2023-06-14T16:29:41Z,LLMs custom-chatbots console ⚡
45,LLM,Huatuo-Llama-Med-Chinese,3052,272,Python,https://github.com/SCIR-HI/Huatuo-Llama-Med-Chinese,SCIR-HI,20,2023-06-13T04:27:23Z,"Repo for BenTsao [original name: HuaTuo (华驼)], Llama-7B tuned with Chinese medical knowledge. 本草（原名：华驼）模型仓库，基于中文医学知识的LLaMA模型指令微调"
46,LLM,awesome-langchain,3006,155,,https://github.com/kyrolabs/awesome-langchain,kyrolabs,2,2023-06-12T09:24:49Z,😎 Awesome list of tools and projects with the awesome LangChain framework
47,LLM,Luotuo-Chinese-LLM,2927,206,Jupyter Notebook,https://github.com/LC1332/Luotuo-Chinese-LLM,LC1332,2,2023-06-12T13:41:24Z,骆驼(Luotuo): Open Sourced Chinese Language Models. Developed by 陈启源 @ 华中师范大学 & 李鲁鲁 @ 商汤科技 & 冷子昂 @ 商汤科技
48,LLM,llm-numbers,2866,81,,https://github.com/ray-project/llm-numbers,ray-project,2,2023-05-23T18:46:14Z,Numbers every LLM developer should know
49,LLM,GPT-4-LLM,2846,203,HTML,https://github.com/Instruction-Tuning-with-GPT-4/GPT-4-LLM,Instruction-Tuning-with-GPT-4,4,2023-06-11T13:40:30Z,Instruction Tuning with GPT-4
50,LLM,marvin,2812,300,Python,https://github.com/PrefectHQ/marvin,PrefectHQ,23,2023-06-15T03:02:33Z,A batteries-included library for building AI-powered software
51,LLM,paper-qa,2631,229,Python,https://github.com/whitead/paper-qa,whitead,24,2023-06-15T00:31:43Z,LLM Chain for answering questions from documents with citations
52,LLM,alpa,2529,305,Python,https://github.com/alpa-projects/alpa,alpa-projects,45,2023-06-13T13:00:23Z,Training and serving large-scale neural networks
53,LLM,LLM-As-Chatbot,2524,299,Python,https://github.com/deep-diver/LLM-As-Chatbot,deep-diver,7,2023-06-13T14:32:49Z,LLM as a Chatbot Service
54,LLM,InternGPT,2436,160,Python,https://github.com/OpenGVLab/InternGPT,OpenGVLab,3,2023-06-14T04:54:55Z,"InternGPT (iGPT) is an open source demo platform where you can easily showcase your AI models. Now it supports DragGAN, ChatGPT, ImageBind, multimodal chat like GPT-4, SAM, interactive image editing, etc. Try it at igpt.opengvlab.com (支持DragGAN、ChatGPT、ImageBind、SAM的在线Demo系统)"
55,LLM,unlocking-the-power-of-llms,2362,152,Shell,https://github.com/howl-anderson/unlocking-the-power-of-llms,howl-anderson,2,2023-05-11T16:04:16Z,使用 Prompts 和 Chains 让 ChatGPT 成为神奇的生产力工具！Unlocking the power of LLMs.
56,LLM,WizardLM,2328,136,Python,https://github.com/nlpxucan/WizardLM,nlpxucan,38,2023-06-15T02:48:40Z,"Family of instruction-following LLMs powered by Evol-Instruct: WizardLM, WizardCoder"
57,LLM,awesome-pretrained-chinese-nlp-models,2327,274,Python,https://github.com/lonePatient/awesome-pretrained-chinese-nlp-models,lonePatient,0,2023-06-14T09:56:54Z,Awesome Pretrained Chinese NLP Models，高质量中文预训练模型集合
58,LLM,towhee,2321,209,Python,https://github.com/towhee-io/towhee,towhee-io,8,2023-06-12T07:56:37Z,Towhee is a framework that is dedicated to making neural data processing pipelines simple and fast.
59,LLM,LLMZoo,2319,151,Python,https://github.com/FreedomIntelligence/LLMZoo,FreedomIntelligence,21,2023-06-07T14:45:29Z,"⚡LLM Zoo is a project that provides data, models, and evaluation benchmark for large language models.⚡"
60,LLM,LLMSurvey,2293,140,,https://github.com/RUCAIBox/LLMSurvey,RUCAIBox,6,2023-05-07T19:45:46Z,"The official GitHub page for the survey paper ""A Survey of Large Language Models""."
61,LLM,argilla,2191,201,Python,https://github.com/argilla-io/argilla,argilla-io,234,2023-06-14T18:36:55Z,✨Argilla: the open-source data curation platform for LLMs
62,LLM,lance,2187,78,Rust,https://github.com/lancedb/lance,lancedb,100,2023-06-15T00:07:29Z,"Modern columnar data format for ML and LLMs implemented in Rust. Convert from parquet in 2 lines of code for 100x faster random access, vector index, and data versioning. Compatible with Pandas, DuckDB, Polars, Pyarrow, with more integrations coming.."
63,LLM,h2ogpt,2184,158,Python,https://github.com/h2oai/h2ogpt,h2oai,93,2023-06-14T20:45:06Z,"Join us at H2O.ai to make the world's best open-source GPT with document and image Q&A, 100% private chat, no data leaks, Apache 2.0"
64,LLM,llm-foundry,2169,187,Python,https://github.com/mosaicml/llm-foundry,mosaicml,29,2023-06-14T20:55:09Z,LLM training code for MosaicML foundation models
65,LLM,engshell,2131,184,Python,https://github.com/emcf/engshell,emcf,2,2023-04-28T03:38:14Z,"An English-language shell for any OS, powered by LLMs"
66,LLM,Promptify,2093,148,Python,https://github.com/promptslab/Promptify,promptslab,27,2023-05-24T04:54:53Z,"Prompt Engineering | Use GPT or other prompt based models to get structured output. Join our discord for Prompt-Engineering, LLMs and other latest research"
67,LLM,tree-of-thought-llm,2049,155,Python,https://github.com/princeton-nlp/tree-of-thought-llm,princeton-nlp,5,2023-06-14T20:18:19Z,"Official Implementation of ""Tree of Thoughts: Deliberate Problem Solving with Large Language Models"""
68,LLM,AutoGPT-Next-Web,1976,1046,TypeScript,https://github.com/ConnectAI-E/AutoGPT-Next-Web,ConnectAI-E,14,2023-06-14T12:34:12Z,"🤖 Assemble, configure, and deploy autonomous AI Agents in your browser.一键免费部署你的私人AutoGPT 网页应用"
69,LLM,xTuring,1953,143,Python,https://github.com/stochasticai/xTuring,stochasticai,13,2023-06-14T11:04:29Z,"Easily build, customize and control your own LLMs"
70,LLM,gpt-repository-loader,1948,126,Python,https://github.com/mpoon/gpt-repository-loader,mpoon,13,2023-05-09T21:56:21Z,Convert code repos into an LLM prompt-friendly format. Mostly built by GPT-4.
71,LLM,CodeT5,1867,275,Python,https://github.com/salesforce/CodeT5,salesforce,29,2023-06-05T12:17:00Z,Home of CodeT5: Open Code LLMs for Code Understanding and Generation
72,LLM,scikit-llm,1838,142,Python,https://github.com/iryna-kondr/scikit-llm,iryna-kondr,5,2023-06-11T19:19:03Z,Seamlessly integrate powerful language models like ChatGPT into scikit-learn for enhanced text analysis tasks.
73,LLM,databerry,1818,199,TypeScript,https://github.com/gmpetrov/databerry,gmpetrov,41,2023-06-14T08:55:40Z,The no-code platform for building custom LLM Agents
