rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,51099,6378,Python,https://github.com/hwchase17/langchain,hwchase17,1714,2023-06-29T02:53:54Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt_academic,36822,4724,Python,https://github.com/binary-husky/gpt_academic,binary-husky,306,2023-06-28T02:35:14Z,"为ChatGPT/GLM提供图形交互界面，特别优化论文阅读润色体验，模块化设计支持自定义快捷按钮&函数插件，支持代码块表格显示，Tex公式双显示，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持清华chatglm等本地模型。兼容复旦MOSS, llama, rwkv, 盘古, newbing, claude等"
3,LLM,JARVIS,21133,1735,Python,https://github.com/microsoft/JARVIS,microsoft,64,2023-06-25T02:57:04Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
4,LLM,milvus,20548,2306,Go,https://github.com/milvus-io/milvus,milvus-io,525,2023-06-29T03:15:05Z,"A cloud-native vector database, storage for next generation AI applications"
5,LLM,llama_index,18047,1975,Python,https://github.com/jerryjliu/llama_index,jerryjliu,323,2023-06-29T01:16:08Z,LlamaIndex (GPT Index) is a data framework for your LLM applications
6,LLM,mindsdb,17082,2178,Python,https://github.com/mindsdb/mindsdb,mindsdb,487,2023-06-28T22:26:36Z,"MindsDB is a Server for Artificial Intelligence Logic. Enabling developers to ship to production AI powered projects (from the latest LLMs, vector operations, state of the art time-series forecasting to Machine Learning) in a fast and scalable way. "
7,LLM,chatbox,13010,1355,TypeScript,https://github.com/Bin-Huang/chatbox,Bin-Huang,231,2023-06-24T03:27:37Z,"Chatbox is a desktop app for GPT/LLM that supports Windows, Mac, Linux & Web Online"
8,LLM,unilm,12971,1890,Python,https://github.com/microsoft/unilm,microsoft,344,2023-06-29T03:01:06Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
9,LLM,dalai,12187,1400,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,291,2023-06-12T17:24:00Z,The simplest way to run LLaMA on your local machine
10,LLM,Chinese-LLaMA-Alpaca,11644,1215,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,26,2023-06-29T02:36:17Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
11,LLM,ChuanhuChatGPT,11406,1796,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,51,2023-06-28T15:47:25Z,GUI for ChatGPT API and many LLMs
12,LLM,evals,10891,2114,Python,https://github.com/openai/evals,openai,66,2023-06-29T00:01:12Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
13,LLM,semantic-kernel,10533,1419,C#,https://github.com/microsoft/semantic-kernel,microsoft,196,2023-06-29T01:51:09Z,Integrate cutting-edge LLM technology quickly and easily into your apps
14,LLM,langchain-ChatGLM,10483,1578,Python,https://github.com/imClumsyPanda/langchain-ChatGLM,imClumsyPanda,373,2023-06-28T07:42:57Z,"langchain-ChatGLM, local knowledge based ChatGLM with langchain ｜ 基于本地知识库的 ChatGLM 问答"
15,LLM,botpress,10469,1448,TypeScript,https://github.com/botpress/botpress,botpress,2,2023-06-28T23:26:47Z,The open-source hub to build & deploy GPT/LLM Agents ⚡️
16,LLM,mlc-llm,10169,690,Python,https://github.com/mlc-ai/mlc-llm,mlc-ai,55,2023-06-28T23:49:07Z,"Enable everyone to develop, optimize and deploy AI models natively on everyone's devices."
17,LLM,Flowise,9529,2732,JavaScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,91,2023-06-28T22:10:46Z,Drag & drop UI to build your customized LLM flow
18,LLM,haystack,9265,1252,Python,https://github.com/deepset-ai/haystack,deepset-ai,309,2023-06-28T19:14:13Z,":mag: Haystack is an open source NLP framework to interact with your data using Transformer models and LLMs (GPT-4, ChatGPT and alike). Haystack offers production-ready tools to quickly build complex question answering, semantic search, text generation applications, and more."
19,LLM,SuperAGI,8842,911,Python,https://github.com/TransformerOptimus/SuperAGI,TransformerOptimus,129,2023-06-28T20:34:11Z,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably."
20,LLM,RWKV-LM,8703,584,Python,https://github.com/BlinkDL/RWKV-LM,BlinkDL,30,2023-06-26T04:51:12Z,"RWKV is an RNN with transformer-level LLM performance. It can be directly trained like a GPT (parallelizable). So it's combining the best of RNN and transformer - great performance, fast inference, saves VRAM, fast training, ""infinite"" ctx_len, and free sentence embedding."
21,LLM,LocalAI,7747,722,Go,https://github.com/go-skynet/LocalAI,go-skynet,76,2023-06-29T01:07:27Z,":robot: Self-hosted, community-driven, local OpenAI-compatible API. Drop-in replacement for OpenAI running LLMs on consumer-grade hardware. Free Open Source OpenAI alternative. No GPU required. LocalAI is an API to run ggml compatible models: llama, gpt4all, rwkv, whisper, vicuna, koala, gpt4all-j, cerebras, falcon, dolly, starcoder, and many other"
22,LLM,pandas-ai,7474,521,Python,https://github.com/gventuri/pandas-ai,gventuri,40,2023-06-29T00:28:28Z,"Pandas AI is a Python library that integrates generative artificial intelligence capabilities into Pandas, making dataframes conversational"
23,LLM,peft,7458,549,Python,https://github.com/huggingface/peft,huggingface,88,2023-06-28T17:43:53Z,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.
