rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,56972,7506,Python,https://github.com/langchain-ai/langchain,langchain-ai,2134,2023-08-01T03:15:12Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt_academic,39012,5106,Python,https://github.com/binary-husky/gpt_academic,binary-husky,307,2023-07-31T17:25:08Z,"为ChatGPT/GLM提供图形交互界面，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持清华chatglm2等本地模型。兼容复旦MOSS, llama, rwkv, newbing, claude, claude2等"
3,LLM,milvus,21764,2417,Go,https://github.com/milvus-io/milvus,milvus-io,629,2023-08-01T03:18:17Z,"A cloud-native vector database, storage for next generation AI applications"
4,LLM,JARVIS,21462,1798,Python,https://github.com/microsoft/JARVIS,microsoft,65,2023-07-28T09:59:24Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
5,LLM,llama_index,19596,2195,Python,https://github.com/jerryjliu/llama_index,jerryjliu,300,2023-08-01T03:03:37Z,LlamaIndex (GPT Index) is a data framework for your LLM applications
6,LLM,quivr,18989,1987,TypeScript,https://github.com/StanGirard/quivr,StanGirard,229,2023-07-31T23:14:18Z,"🧠 Dump all your files and chat with it using your Generative AI Second Brain using LLMs ( GPT 3.5/4, Private, Anthropic, VertexAI ) & Embeddings 🧠 "
7,LLM,mindsdb,17407,2219,Python,https://github.com/mindsdb/mindsdb,mindsdb,533,2023-08-01T02:15:07Z,MindsDB connects AI models to databases and applications.
8,LLM,Mr.-Ranedeer-AI-Tutor,15448,1480,,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,JushBJJ,8,2023-07-15T10:58:29Z,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.
9,LLM,unilm,14760,2061,Python,https://github.com/microsoft/unilm,microsoft,368,2023-07-28T03:12:01Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
10,LLM,chatbox,14014,1489,TypeScript,https://github.com/Bin-Huang/chatbox,Bin-Huang,190,2023-07-30T13:58:01Z,"Chatbox is a desktop app for GPT/LLM that supports Windows, Mac, Linux & Web Online"
11,LLM,Chinese-LLaMA-Alpaca,13508,1403,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,22,2023-07-31T06:51:03Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
12,LLM,langchain-ChatGLM,12900,2044,Python,https://github.com/chatchat-space/langchain-ChatGLM,chatchat-space,523,2023-08-01T02:59:31Z,"langchain-ChatGLM, local knowledge based ChatGLM with langchain ｜ 基于本地知识库的 ChatGLM 问答"
13,LLM,dalai,12534,1421,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,295,2023-06-30T13:51:06Z,The simplest way to run LLaMA on your local machine
14,LLM,Flowise,11874,4497,TypeScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,109,2023-08-01T01:14:04Z,Drag & drop UI to build your customized LLM flow
15,LLM,ChuanhuChatGPT,11850,1881,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,50,2023-07-30T09:07:33Z,GUI for ChatGPT API and many LLMs
16,LLM,evals,11368,2200,Python,https://github.com/openai/evals,openai,69,2023-07-31T11:58:17Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
17,LLM,semantic-kernel,11276,1601,C#,https://github.com/microsoft/semantic-kernel,microsoft,270,2023-08-01T01:33:52Z,Integrate cutting-edge LLM technology quickly and easily into your apps
18,LLM,mlc-llm,11177,772,Python,https://github.com/mlc-ai/mlc-llm,mlc-ai,91,2023-08-01T00:03:43Z,"Enable everyone to develop, optimize and deploy AI models natively on everyone's devices."
19,LLM,SuperAGI,11014,1246,Python,https://github.com/TransformerOptimus/SuperAGI,TransformerOptimus,148,2023-07-31T19:08:05Z,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably."
20,LLM,botpress,10765,1508,TypeScript,https://github.com/botpress/botpress,botpress,3,2023-08-01T00:48:35Z,The open-source hub to build & deploy GPT/LLM Agents ⚡️
21,LLM,ChatGLM2-6B,10559,1713,Python,https://github.com/THUDM/ChatGLM2-6B,THUDM,210,2023-08-01T02:43:56Z,ChatGLM2-6B: An Open Bilingual Chat LLM | 开源双语对话语言模型
22,LLM,haystack,10233,1324,Python,https://github.com/deepset-ai/haystack,deepset-ai,373,2023-08-01T03:16:04Z,":mag: LLM orchestration framework to build customizable, production-ready LLM applications. Connect components (Models, Vector DBs, File Converters) to Pipelines or Agents that can interact with your data. With advanced retrieval methods, it's best suited for building RAG, question answering, semantic search and conversational agent"
23,LLM,PaddleNLP,9819,2597,Python,https://github.com/PaddlePaddle/PaddleNLP,PaddlePaddle,483,2023-08-01T03:15:00Z,"👑 Easy-to-use and powerful NLP library with 🤗 Awesome model zoo, supporting wide-range of NLP tasks from research to industrial applications, including 🗂Text Classification,  🔍 Neural Search, ❓ Question Answering, ℹ️ Information Extraction, 📄 Document Intelligence, 💌 Sentiment Analysis etc."
24,LLM,LocalAI,9306,842,Go,https://github.com/go-skynet/LocalAI,go-skynet,103,2023-07-31T22:48:10Z,":robot: Self-hosted, community-driven, local OpenAI-compatible API. Drop-in replacement for OpenAI running LLMs on consumer-grade hardware. Free Open Source OpenAI alternative. No GPU required. LocalAI is an API to run ggml compatible models: llama, gpt4all, rwkv, whisper, vicuna, koala, gpt4all-j, cerebras, falcon, dolly, starcoder, and many other"
25,LLM,RWKV-LM,9267,640,Python,https://github.com/BlinkDL/RWKV-LM,BlinkDL,36,2023-07-31T13:40:13Z,"RWKV is an RNN with transformer-level LLM performance. It can be directly trained like a GPT (parallelizable). So it's combining the best of RNN and transformer - great performance, fast inference, saves VRAM, fast training, ""infinite"" ctx_len, and free sentence embedding."
