rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,56208,7337,Python,https://github.com/langchain-ai/langchain,langchain-ai,2067,2023-07-26T03:15:50Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt_academic,38685,5055,Python,https://github.com/binary-husky/gpt_academic,binary-husky,296,2023-07-25T08:40:01Z,"为ChatGPT/GLM提供图形交互界面，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持清华chatglm2等本地模型。兼容复旦MOSS, llama, rwkv, newbing, claude, claude2等"
3,LLM,milvus,21599,2398,Go,https://github.com/milvus-io/milvus,milvus-io,607,2023-07-26T03:14:09Z,"A cloud-native vector database, storage for next generation AI applications"
4,LLM,JARVIS,21411,1776,Python,https://github.com/microsoft/JARVIS,microsoft,65,2023-06-30T12:32:58Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
5,LLM,llama_index,19376,2162,Python,https://github.com/jerryjliu/llama_index,jerryjliu,296,2023-07-26T00:32:39Z,LlamaIndex (GPT Index) is a data framework for your LLM applications
6,LLM,quivr,18563,1933,TypeScript,https://github.com/StanGirard/quivr,StanGirard,215,2023-07-25T21:52:43Z,"🧠 Dump all your files and chat with it using your Generative AI Second Brain using LLMs ( GPT 3.5/4, Private, Anthropic, VertexAI ) & Embeddings 🧠 "
7,LLM,mindsdb,17354,2214,Python,https://github.com/mindsdb/mindsdb,mindsdb,534,2023-07-26T03:02:28Z,"MindsDB’s AI database empowers world’s developers to build, deploy and automate Generative AI models for data-intensive applications."
8,LLM,Mr.-Ranedeer-AI-Tutor,15330,1467,,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,JushBJJ,8,2023-07-15T10:58:29Z,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.
9,LLM,unilm,14595,2032,Python,https://github.com/microsoft/unilm,microsoft,363,2023-07-25T08:21:04Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
10,LLM,chatbox,13910,1475,TypeScript,https://github.com/Bin-Huang/chatbox,Bin-Huang,185,2023-07-24T13:42:45Z,"Chatbox is a desktop app for GPT/LLM that supports Windows, Mac, Linux & Web Online"
11,LLM,Chinese-LLaMA-Alpaca,13221,1385,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,14,2023-07-23T09:11:36Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
12,LLM,langchain-ChatGLM,12565,1979,Python,https://github.com/chatchat-space/langchain-ChatGLM,chatchat-space,494,2023-07-26T03:11:15Z,"langchain-ChatGLM, local knowledge based ChatGLM with langchain ｜ 基于本地知识库的 ChatGLM 问答"
13,LLM,dalai,12481,1416,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,294,2023-06-30T13:51:06Z,The simplest way to run LLaMA on your local machine
14,LLM,ChuanhuChatGPT,11800,1873,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,56,2023-07-25T14:45:57Z,GUI for ChatGPT API and many LLMs
15,LLM,evals,11312,2192,Python,https://github.com/openai/evals,openai,69,2023-07-25T23:59:01Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
16,LLM,Flowise,11230,4098,TypeScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,97,2023-07-25T17:13:28Z,Drag & drop UI to build your customized LLM flow
17,LLM,semantic-kernel,11160,1560,C#,https://github.com/microsoft/semantic-kernel,microsoft,266,2023-07-26T02:39:35Z,Integrate cutting-edge LLM technology quickly and easily into your apps
18,LLM,mlc-llm,10964,754,Python,https://github.com/mlc-ai/mlc-llm,mlc-ai,84,2023-07-25T23:42:24Z,"Enable everyone to develop, optimize and deploy AI models natively on everyone's devices."
19,LLM,SuperAGI,10841,1217,Python,https://github.com/TransformerOptimus/SuperAGI,TransformerOptimus,136,2023-07-26T01:30:26Z,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably."
20,LLM,botpress,10714,1501,TypeScript,https://github.com/botpress/botpress,botpress,3,2023-07-25T22:39:50Z,The open-source hub to build & deploy GPT/LLM Agents ⚡️
21,LLM,haystack,10174,1317,Python,https://github.com/deepset-ai/haystack,deepset-ai,362,2023-07-25T17:13:58Z,":mag: Haystack is an open source NLP framework to interact with your data using Transformer models and LLMs (GPT-4, Falcon and alike). Haystack offers production-ready tools to quickly build complex question answering, semantic search, text generation applications, and more."
22,LLM,ChatGLM2-6B,10102,1649,Python,https://github.com/THUDM/ChatGLM2-6B,THUDM,195,2023-07-26T02:27:46Z,ChatGLM2-6B: An Open Bilingual Chat LLM | 开源双语对话语言模型
23,LLM,PaddleNLP,9771,2585,Python,https://github.com/PaddlePaddle/PaddleNLP,PaddlePaddle,476,2023-07-26T03:08:19Z,"👑 Easy-to-use and powerful NLP library with 🤗 Awesome model zoo, supporting wide-range of NLP tasks from research to industrial applications, including 🗂Text Classification,  🔍 Neural Search, ❓ Question Answering, ℹ️ Information Extraction, 📄 Document Intelligence, 💌 Sentiment Analysis etc."
24,LLM,RWKV-LM,9116,628,Python,https://github.com/BlinkDL/RWKV-LM,BlinkDL,36,2023-07-25T14:24:27Z,"RWKV is an RNN with transformer-level LLM performance. It can be directly trained like a GPT (parallelizable). So it's combining the best of RNN and transformer - great performance, fast inference, saves VRAM, fast training, ""infinite"" ctx_len, and free sentence embedding."
25,LLM,ludwig,9045,1053,Python,https://github.com/ludwig-ai/ludwig,ludwig-ai,229,2023-07-25T20:25:50Z,"Declarative framework for building LLMs, neural networks, and GBMs"
26,LLM,LocalAI,9026,815,Go,https://github.com/go-skynet/LocalAI,go-skynet,96,2023-07-26T01:37:06Z,":robot: Self-hosted, community-driven, local OpenAI-compatible API. Drop-in replacement for OpenAI running LLMs on consumer-grade hardware. Free Open Source OpenAI alternative. No GPU required. LocalAI is an API to run ggml compatible models: llama, gpt4all, rwkv, whisper, vicuna, koala, gpt4all-j, cerebras, falcon, dolly, starcoder, and many other"
27,LLM,peft,8340,643,Python,https://github.com/huggingface/peft,huggingface,73,2023-07-25T17:30:25Z,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.
28,LLM,pandas-ai,7954,583,Python,https://github.com/gventuri/pandas-ai,gventuri,51,2023-07-25T23:34:41Z,"Pandas AI is a Python library that integrates generative artificial intelligence capabilities into Pandas, making dataframes conversational"
29,LLM,open-llms,7484,402,,https://github.com/eugeneyan/open-llms,eugeneyan,2,2023-07-20T15:04:13Z,📋 A list of open LLMs available for commercial use.
30,LLM,qlora,6832,570,Jupyter Notebook,https://github.com/artidoro/qlora,artidoro,144,2023-07-25T11:59:54Z,QLoRA: Efficient Finetuning of Quantized LLMs
31,LLM,web-llm,6704,376,TypeScript,https://github.com/mlc-ai/web-llm,mlc-ai,32,2023-07-25T05:33:16Z,Bringing large-language models and chat to web browsers. Everything runs inside the browser with no server support.
32,LLM,deeplake,6530,499,Python,https://github.com/activeloopai/deeplake,activeloopai,44,2023-07-25T19:52:00Z,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai"
33,LLM,Awesome-LLM,6314,416,,https://github.com/Hannibal046/Awesome-LLM,Hannibal046,0,2023-07-25T20:06:14Z,Awesome-LLM: a curated list of Large Language Model
34,LLM,MetaGPT,6216,779,Python,https://github.com/geekan/MetaGPT,geekan,24,2023-07-26T02:00:00Z,"🌟 The Multi-Agent Framework: Given one line Requirement, return PRD, Design, Tasks, Repo"
35,LLM,h2ogpt,5934,679,Python,https://github.com/h2oai/h2ogpt,h2oai,152,2023-07-26T03:08:08Z,"Private Q&A and summarization of documents+images or chat with local GPT, 100% private, Apache 2.0. Supports LLaMa2, llama.cpp, and more. Demo: https://gpt.h2o.ai/"
36,LLM,LLMsPracticalGuide,5776,396,,https://github.com/Mooler0410/LLMsPracticalGuide,Mooler0410,7,2023-07-10T03:46:12Z,"A curated list of practical guide resources of LLMs (LLMs Tree, Examples, Papers)"
