rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,ollama,164689,14868,Go,https://github.com/ollama/ollama,ollama,2001,2026-03-10T04:32:19Z,"Get up and running with Kimi-K2.5, GLM-5, MiniMax, DeepSeek, gpt-oss, Qwen, Gemma and other models."
2,LLM,transformers,157672,32339,Python,https://github.com/huggingface/transformers,huggingface,1066,2026-03-09T23:25:58Z,"🤗 Transformers: the model-definition framework for state-of-the-art machine learning models in text, vision, audio, and multimodal models, for both inference and training. "
3,LLM,prompts.chat,151195,19865,HTML,https://github.com/f/prompts.chat,f,4,2026-03-10T03:49:24Z,"f.k.a. Awesome ChatGPT Prompts. Share, discover, and collect prompts from the community. Free and open source — self-host for your organization with complete privacy."
4,LLM,dify,131840,20528,TypeScript,https://github.com/langgenius/dify,langgenius,380,2026-03-10T04:37:27Z,Production-ready platform for agentic workflow development.
5,LLM,langchain,128897,21152,Python,https://github.com/langchain-ai/langchain,langchain-ai,250,2026-03-10T01:47:20Z,The agent engineering platform
6,LLM,open-webui,126474,17902,Python,https://github.com/open-webui/open-webui,open-webui,157,2026-03-10T00:08:33Z,"User-friendly AI Interface (Supports Ollama, OpenAI API, ...)"
7,LLM,awesome-llm-apps,101231,14719,Python,https://github.com/Shubhamsaboo/awesome-llm-apps,Shubhamsaboo,0,2026-03-07T19:29:22Z,"Collection of awesome LLM apps with AI Agents and RAG using OpenAI, Anthropic, Gemini and opensource models."
8,LLM,llama.cpp,97409,15351,C++,https://github.com/ggml-org/llama.cpp,ggml-org,450,2026-03-09T23:48:55Z,LLM inference in C/C++
9,LLM,firecrawl,90368,6309,TypeScript,https://github.com/firecrawl/firecrawl,firecrawl,42,2026-03-10T02:35:17Z,🔥 The Web Data API for AI - Turn entire websites into LLM-ready markdown or structured data
10,LLM,LLMs-from-scratch,87557,13323,Jupyter Notebook,https://github.com/rasbt/LLMs-from-scratch,rasbt,1,2026-03-07T23:05:50Z,"Implement a ChatGPT-like LLM in PyTorch from scratch, step by step"
11,LLM,browser-use,80067,9454,Python,https://github.com/browser-use/browser-use,browser-use,109,2026-03-09T06:49:21Z,🌐 Make websites accessible for AI agents. Automate tasks online with ease.
12,LLM,gpt4all,77208,8326,C++,https://github.com/nomic-ai/gpt4all,nomic-ai,719,2025-05-27T20:05:19Z,GPT4All: Run Local LLMs on Any Device. Open-source and available for commercial use.
13,LLM,llm-course,76299,8790,,https://github.com/mlabonne/llm-course,mlabonne,63,2026-02-05T13:09:26Z,Course to get into Large Language Models (LLMs) with roadmaps and Colab notebooks.
14,LLM,ragflow,74604,8323,Python,https://github.com/infiniflow/ragflow,infiniflow,3001,2026-03-10T03:57:32Z,RAGFlow is a leading open-source Retrieval-Augmented Generation (RAG) engine that fuses cutting-edge RAG with Agent capabilities to create a superior context layer for LLMs
15,LLM,vllm,72648,14151,Python,https://github.com/vllm-project/vllm,vllm-project,1693,2026-03-10T03:56:56Z,A high-throughput and memory-efficient inference and serving engine for LLMs
16,LLM,PaddleOCR,71939,9929,Python,https://github.com/PaddlePaddle/PaddleOCR,PaddlePaddle,210,2026-03-09T10:09:59Z,"Turn any PDF or image document into structured data for your AI. A powerful, lightweight OCR toolkit that bridges the gap between images/PDFs and LLMs. Supports 100+ languages."
17,LLM,gpt_academic,70201,8400,Python,https://github.com/binary-husky/gpt_academic,binary-husky,276,2026-01-25T12:33:10Z,"为GPT/GLM等LLM大语言模型提供实用化交互接口，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm3等本地模型。接入通义千问, deepseekcoder, 讯飞星火, 文心一言, llama2, rwkv, claude2, moss等。"
18,LLM,everything-claude-code,69370,8672,JavaScript,https://github.com/affaan-m/everything-claude-code,affaan-m,8,2026-03-10T04:13:12Z,"The agent harness performance optimization system. Skills, instincts, memory, security, and research-first development for Claude Code, Codex, Opencode, Cursor and beyond."
19,LLM,OpenHands,68849,8609,Python,https://github.com/OpenHands/OpenHands,OpenHands,170,2026-03-10T02:50:32Z,🙌 OpenHands: AI-Driven Development
