rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,46507,5454,Python,https://github.com/hwchase17/langchain,hwchase17,1472,2023-06-11T01:58:20Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt_academic,35599,4412,Python,https://github.com/binary-husky/gpt_academic,binary-husky,273,2023-06-11T02:20:49Z,"为ChatGPT/GLM提供图形交互界面，特别优化论文阅读润色体验，模块化设计支持自定义快捷按钮&函数插件，支持代码块表格显示，Tex公式双显示，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持清华chatglm等本地模型。兼容复旦MOSS, llama, rwkv, 盘古, newbing, claude等"
3,LLM,JARVIS,20910,1710,Python,https://github.com/microsoft/JARVIS,microsoft,59,2023-06-09T22:52:32Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
4,LLM,milvus,19759,2243,Go,https://github.com/milvus-io/milvus,milvus-io,502,2023-06-11T00:52:06Z,"A cloud-native vector database, storage for next generation AI applications"
5,LLM,llama_index,17139,1834,Python,https://github.com/jerryjliu/llama_index,jerryjliu,296,2023-06-10T19:46:11Z,LlamaIndex (GPT Index) is a data framework for your LLM applications
6,LLM,mindsdb,16497,2117,Python,https://github.com/mindsdb/mindsdb,mindsdb,568,2023-06-10T19:56:27Z,MindsDB is a Server for Artificial Intelligence Logic. Enabling developers to ship AI powered projects to production in a fast and scalable way. 
7,LLM,unilm,12701,1864,Python,https://github.com/microsoft/unilm,microsoft,334,2023-06-09T02:30:51Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
8,LLM,dalai,11983,1375,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,289,2023-05-21T06:39:45Z,The simplest way to run LLaMA on your local machine
9,LLM,ChuanhuChatGPT,11024,1714,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,51,2023-06-10T09:31:52Z,GUI for ChatGPT API and many LLMs
10,LLM,Chinese-LLaMA-Alpaca,10655,1102,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,64,2023-06-10T07:34:48Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
11,LLM,evals,10286,1977,Python,https://github.com/openai/evals,openai,61,2023-06-10T23:27:27Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
