rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,49558,6130,Python,https://github.com/hwchase17/langchain,hwchase17,1619,2023-06-22T03:17:08Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt_academic,36341,4584,Python,https://github.com/binary-husky/gpt_academic,binary-husky,296,2023-06-21T08:23:21Z,"为ChatGPT/GLM提供图形交互界面，特别优化论文阅读润色体验，模块化设计支持自定义快捷按钮&函数插件，支持代码块表格显示，Tex公式双显示，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持清华chatglm等本地模型。兼容复旦MOSS, llama, rwkv, 盘古, newbing, claude等"
3,LLM,JARVIS,21050,1725,Python,https://github.com/microsoft/JARVIS,microsoft,62,2023-06-09T22:52:32Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
4,LLM,milvus,20138,2280,Go,https://github.com/milvus-io/milvus,milvus-io,526,2023-06-21T16:45:51Z,"A cloud-native vector database, storage for next generation AI applications"
5,LLM,llama_index,17731,1921,Python,https://github.com/jerryjliu/llama_index,jerryjliu,301,2023-06-22T03:11:56Z,LlamaIndex (GPT Index) is a data framework for your LLM applications
6,LLM,mindsdb,16961,2143,Python,https://github.com/mindsdb/mindsdb,mindsdb,582,2023-06-21T22:48:51Z,"MindsDB is a Server for Artificial Intelligence Logic. Enabling developers to ship to production AI powered projects (from the latest LLMs, vector operations, state of the art time-series forecasting to Machine Learning) in a fast and scalable way. "
7,LLM,chatbox,12853,1339,TypeScript,https://github.com/Bin-Huang/chatbox,Bin-Huang,286,2023-06-17T23:01:51Z,"Chatbox is a desktop app for GPT/LLM that supports Windows, Mac, Linux & Web Online"
8,LLM,unilm,12836,1871,Python,https://github.com/microsoft/unilm,microsoft,339,2023-06-22T03:07:36Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
9,LLM,dalai,12122,1396,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,291,2023-06-12T17:24:00Z,The simplest way to run LLaMA on your local machine
10,LLM,Chinese-LLaMA-Alpaca,11345,1177,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,43,2023-06-21T07:01:01Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
