rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,59313,8011,Python,https://github.com/langchain-ai/langchain,langchain-ai,2337,2023-08-21T02:34:47Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt_academic,39945,5269,Python,https://github.com/binary-husky/gpt_academic,binary-husky,313,2023-08-17T13:14:39Z,"为ChatGPT/GLM提供图形交互界面，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持清华chatglm2等本地模型。兼容复旦MOSS, llama, rwkv, newbing, claude, claude2等"
3,LLM,MetaGPT,22507,2496,Python,https://github.com/geekan/MetaGPT,geekan,98,2023-08-21T02:45:09Z,"🌟 The Multi-Agent Framework: Given one line Requirement, return PRD, Design, Tasks, Repo"
4,LLM,milvus,22294,2463,Go,https://github.com/milvus-io/milvus,milvus-io,597,2023-08-21T03:16:20Z,"A cloud-native vector database, storage for next generation AI applications"
5,LLM,JARVIS,21635,1902,Python,https://github.com/microsoft/JARVIS,microsoft,66,2023-07-28T09:59:24Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
6,LLM,quivr,20684,2187,TypeScript,https://github.com/StanGirard/quivr,StanGirard,225,2023-08-20T22:19:38Z,"🧠 Your Second Brain supercharged by Generative AI 🧠 Dump all your files and chat with your personal assistant on your files & more using GPT 3.5/4, Private, Anthropic, VertexAI, LLMs..."
7,LLM,llama_index,20286,2314,Python,https://github.com/jerryjliu/llama_index,jerryjliu,332,2023-08-21T00:26:44Z,LlamaIndex (GPT Index) is a data framework for your LLM applications
8,LLM,mindsdb,17612,2249,Python,https://github.com/mindsdb/mindsdb,mindsdb,556,2023-08-20T22:09:29Z,MindsDB connects AI models to databases.
9,LLM,Mr.-Ranedeer-AI-Tutor,15742,1525,,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,JushBJJ,8,2023-08-16T07:06:21Z,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.
10,LLM,unilm,15043,2102,Python,https://github.com/microsoft/unilm,microsoft,385,2023-08-19T11:33:20Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
11,LLM,Flowise,14374,5767,TypeScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,136,2023-08-21T02:04:35Z,Drag & drop UI to build your customized LLM flow
