rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,44075,5070,Python,https://github.com/hwchase17/langchain,hwchase17,1366,2023-06-02T03:14:16Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt_academic,34905,4322,Python,https://github.com/binary-husky/gpt_academic,binary-husky,245,2023-06-01T07:56:52Z,"为ChatGPT/GLM提供图形交互界面，特别优化论文阅读润色体验，模块化设计支持自定义快捷按钮&函数插件，支持代码块表格显示，Tex公式双显示，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持清华chatglm等本地模型。兼容复旦MOSS, llama, rwkv, 盘古, newbing, claude等"
3,LLM,JARVIS,20763,1698,Python,https://github.com/microsoft/JARVIS,microsoft,55,2023-05-15T15:19:28Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
4,LLM,milvus,19199,2195,Go,https://github.com/milvus-io/milvus,milvus-io,507,2023-06-02T02:20:16Z,"A cloud-native vector database, storage for next generation AI applications"
5,LLM,llama_index,16466,1738,Python,https://github.com/jerryjliu/llama_index,jerryjliu,343,2023-06-02T03:17:11Z,LlamaIndex (GPT Index) is a data framework for your LLM applications
6,LLM,unilm,12542,1843,Python,https://github.com/microsoft/unilm,microsoft,327,2023-05-30T05:17:17Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
7,LLM,dalai,11842,1362,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,289,2023-05-21T06:39:45Z,The simplest way to run LLaMA on your local machine
8,LLM,ChuanhuChatGPT,10726,1651,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,48,2023-06-02T02:52:14Z,GUI for ChatGPT API and many LLMs
9,LLM,Chinese-LLaMA-Alpaca,10043,1023,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,60,2023-06-02T00:21:40Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
10,LLM,evals,9871,1910,Python,https://github.com/openai/evals,openai,56,2023-06-02T03:08:05Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
11,LLM,semantic-kernel,9708,1188,C#,https://github.com/microsoft/semantic-kernel,microsoft,102,2023-06-02T03:16:47Z,Integrate cutting-edge LLM technology quickly and easily into your apps
12,LLM,haystack,8982,1214,Python,https://github.com/deepset-ai/haystack,deepset-ai,318,2023-06-01T17:01:14Z,":mag: Haystack is an open source NLP framework to interact with your data using Transformer models and LLMs (GPT-4, ChatGPT and alike). Haystack offers production-ready tools to quickly build complex question answering, semantic search, text generation applications, and more."
13,LLM,RWKV-LM,7971,527,Python,https://github.com/BlinkDL/RWKV-LM,BlinkDL,27,2023-05-31T22:35:49Z,"RWKV is an RNN with transformer-level LLM performance. It can be directly trained like a GPT (parallelizable). So it's combining the best of RNN and transformer - great performance, fast inference, saves VRAM, fast training, ""infinite"" ctx_len, and free sentence embedding."
14,LLM,langchain-ChatGLM,7692,1031,Python,https://github.com/imClumsyPanda/langchain-ChatGLM,imClumsyPanda,251,2023-06-01T13:48:01Z,"langchain-ChatGLM, local knowledge based ChatGLM with langchain ｜ 基于本地知识库的 ChatGLM 问答"
15,LLM,mlc-llm,7340,478,Python,https://github.com/mlc-ai/mlc-llm,mlc-ai,90,2023-06-02T03:17:50Z,"Enable everyone to develop, optimize and deploy AI models natively on everyone's devices."
16,LLM,pandas-ai,6767,445,Python,https://github.com/gventuri/pandas-ai,gventuri,20,2023-06-01T22:51:43Z,"Pandas AI is a Python library that integrates generative artificial intelligence capabilities into Pandas, making dataframes conversational"
17,LLM,peft,6538,462,Python,https://github.com/huggingface/peft,huggingface,129,2023-06-01T21:09:00Z,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.
18,LLM,Flowise,6478,1553,JavaScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,42,2023-06-01T12:22:04Z,Drag & drop UI to build your customized LLM flow using LangchainJS
19,LLM,open-llms,6090,294,,https://github.com/eugeneyan/open-llms,eugeneyan,2,2023-06-01T02:08:55Z,🤖 A list of open LLMs available for commercial use.
20,LLM,web-llm,6062,318,TypeScript,https://github.com/mlc-ai/web-llm,mlc-ai,48,2023-05-30T21:55:19Z,Bringing large-language models and chat to web browsers. Everything runs inside the browser with no server support.
21,LLM,deeplake,6044,477,Python,https://github.com/activeloopai/deeplake,activeloopai,44,2023-06-02T02:23:14Z,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai"
22,LLM,LocalAI,5731,590,Go,https://github.com/go-skynet/LocalAI,go-skynet,51,2023-06-01T23:26:59Z,":robot: Self-hosted, community-driven, local OpenAI-compatible API. Drop-in replacement for OpenAI running LLMs on consumer-grade hardware. No GPU required. LocalAI is a RESTful API to run ggml compatible models: llama.cpp, alpaca.cpp, gpt4all.cpp, rwkv.cpp, whisper.cpp, vicuna, koala, gpt4all-j, cerebras and many others!"
23,LLM,e2b,5044,439,Python,https://github.com/e2b-dev/e2b,e2b-dev,2,2023-06-02T01:02:52Z,"Vercel for AI agents. We're a platform for developers that helps them with building, deploying, and monitoring AI agents. "
24,LLM,qlora,4919,369,Jupyter Notebook,https://github.com/artidoro/qlora,artidoro,75,2023-06-01T14:37:40Z,QLoRA: Efficient Finetuning of Quantized LLMs
25,LLM,LLMsPracticalGuide,4721,304,,https://github.com/Mooler0410/LLMsPracticalGuide,Mooler0410,5,2023-05-29T05:26:55Z,"A curated list of practical guide resources of LLMs (LLMs Tree, Examples, Papers)"
26,LLM,openplayground,4674,300,TypeScript,https://github.com/nat/openplayground,nat,39,2023-05-29T19:18:07Z,An LLM playground you can run on your laptop
27,LLM,dify,4200,565,TypeScript,https://github.com/langgenius/dify,langgenius,28,2023-06-02T03:04:03Z,"One API for plugins and datasets, one interface for prompt engineering and visual operation, all for creating powerful AI applications."
