rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,44863,5196,Python,https://github.com/hwchase17/langchain,hwchase17,1386,2023-06-05T03:17:41Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt_academic,35109,4349,Python,https://github.com/binary-husky/gpt_academic,binary-husky,255,2023-06-05T02:48:26Z,"为ChatGPT/GLM提供图形交互界面，特别优化论文阅读润色体验，模块化设计支持自定义快捷按钮&函数插件，支持代码块表格显示，Tex公式双显示，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持清华chatglm等本地模型。兼容复旦MOSS, llama, rwkv, 盘古, newbing, claude等"
3,LLM,JARVIS,20800,1701,Python,https://github.com/microsoft/JARVIS,microsoft,55,2023-05-15T15:19:28Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
4,LLM,milvus,19475,2218,Go,https://github.com/milvus-io/milvus,milvus-io,509,2023-06-05T03:03:02Z,"A cloud-native vector database, storage for next generation AI applications"
5,LLM,llama_index,16646,1762,Python,https://github.com/jerryjliu/llama_index,jerryjliu,343,2023-06-05T03:16:52Z,LlamaIndex (GPT Index) is a data framework for your LLM applications
6,LLM,unilm,12600,1851,Python,https://github.com/microsoft/unilm,microsoft,329,2023-06-04T03:20:33Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
7,LLM,dalai,11883,1369,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,290,2023-05-21T06:39:45Z,The simplest way to run LLaMA on your local machine
8,LLM,ChuanhuChatGPT,10766,1670,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,50,2023-06-03T09:31:13Z,GUI for ChatGPT API and many LLMs
9,LLM,Chinese-LLaMA-Alpaca,10164,1041,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,58,2023-06-05T02:42:34Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
10,LLM,evals,9990,1932,Python,https://github.com/openai/evals,openai,58,2023-06-05T03:18:07Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
