rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,45476,5280,Python,https://github.com/hwchase17/langchain,hwchase17,1412,2023-06-07T03:17:07Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt_academic,35291,4370,Python,https://github.com/binary-husky/gpt_academic,binary-husky,263,2023-06-07T03:09:24Z,"为ChatGPT/GLM提供图形交互界面，特别优化论文阅读润色体验，模块化设计支持自定义快捷按钮&函数插件，支持代码块表格显示，Tex公式双显示，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持清华chatglm等本地模型。兼容复旦MOSS, llama, rwkv, 盘古, newbing, claude等"
3,LLM,JARVIS,20840,1705,Python,https://github.com/microsoft/JARVIS,microsoft,56,2023-05-15T15:19:28Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
4,LLM,milvus,19573,2229,Go,https://github.com/milvus-io/milvus,milvus-io,519,2023-06-07T03:15:33Z,"A cloud-native vector database, storage for next generation AI applications"
5,LLM,llama_index,16808,1786,Python,https://github.com/jerryjliu/llama_index,jerryjliu,284,2023-06-07T01:27:30Z,LlamaIndex (GPT Index) is a data framework for your LLM applications
6,LLM,unilm,12651,1856,Python,https://github.com/microsoft/unilm,microsoft,332,2023-06-04T03:20:33Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
7,LLM,dalai,11922,1374,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,289,2023-05-21T06:39:45Z,The simplest way to run LLaMA on your local machine
8,LLM,ChuanhuChatGPT,10861,1688,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,52,2023-06-03T09:31:13Z,GUI for ChatGPT API and many LLMs
9,LLM,Chinese-LLaMA-Alpaca,10336,1065,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,51,2023-06-06T06:33:34Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
10,LLM,evals,10176,1949,Python,https://github.com/openai/evals,openai,59,2023-06-07T03:00:58Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
11,LLM,semantic-kernel,9891,1232,C#,https://github.com/microsoft/semantic-kernel,microsoft,88,2023-06-07T03:08:30Z,Integrate cutting-edge LLM technology quickly and easily into your apps
12,LLM,haystack,9033,1219,Python,https://github.com/deepset-ai/haystack,deepset-ai,322,2023-06-06T15:36:38Z,":mag: Haystack is an open source NLP framework to interact with your data using Transformer models and LLMs (GPT-4, ChatGPT and alike). Haystack offers production-ready tools to quickly build complex question answering, semantic search, text generation applications, and more."
13,LLM,mlc-llm,8561,557,Python,https://github.com/mlc-ai/mlc-llm,mlc-ai,87,2023-06-07T00:02:47Z,"Enable everyone to develop, optimize and deploy AI models natively on everyone's devices."
14,LLM,langchain-ChatGLM,8263,1127,Python,https://github.com/imClumsyPanda/langchain-ChatGLM,imClumsyPanda,273,2023-06-07T01:36:41Z,"langchain-ChatGLM, local knowledge based ChatGLM with langchain ｜ 基于本地知识库的 ChatGLM 问答"
15,LLM,RWKV-LM,8183,542,Python,https://github.com/BlinkDL/RWKV-LM,BlinkDL,35,2023-05-31T22:35:49Z,"RWKV is an RNN with transformer-level LLM performance. It can be directly trained like a GPT (parallelizable). So it's combining the best of RNN and transformer - great performance, fast inference, saves VRAM, fast training, ""infinite"" ctx_len, and free sentence embedding."
16,LLM,Flowise,6979,1782,JavaScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,49,2023-06-06T16:35:22Z,Drag & drop UI to build your customized LLM flow using LangchainJS
17,LLM,pandas-ai,6967,463,Python,https://github.com/gventuri/pandas-ai,gventuri,29,2023-06-07T03:19:40Z,"Pandas AI is a Python library that integrates generative artificial intelligence capabilities into Pandas, making dataframes conversational"
18,LLM,peft,6731,474,Python,https://github.com/huggingface/peft,huggingface,127,2023-06-06T16:00:16Z,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.
19,LLM,web-llm,6194,322,TypeScript,https://github.com/mlc-ai/web-llm,mlc-ai,49,2023-05-30T21:55:19Z,Bringing large-language models and chat to web browsers. Everything runs inside the browser with no server support.
20,LLM,open-llms,6194,299,,https://github.com/eugeneyan/open-llms,eugeneyan,2,2023-06-05T16:48:13Z,🤖 A list of open LLMs available for commercial use.
21,LLM,LocalAI,6120,617,Go,https://github.com/go-skynet/LocalAI,go-skynet,53,2023-06-07T00:39:21Z,":robot: Self-hosted, community-driven, local OpenAI-compatible API. Drop-in replacement for OpenAI running LLMs on consumer-grade hardware. No GPU required. LocalAI is a RESTful API to run ggml compatible models: llama.cpp, alpaca.cpp, gpt4all.cpp, rwkv.cpp, whisper.cpp, vicuna, koala, gpt4all-j, cerebras, falcon, dolly, starcoder, and many others!"
22,LLM,deeplake,6083,476,Python,https://github.com/activeloopai/deeplake,activeloopai,43,2023-06-06T19:40:23Z,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai"
23,LLM,qlora,5454,409,Jupyter Notebook,https://github.com/artidoro/qlora,artidoro,94,2023-06-06T18:49:30Z,QLoRA: Efficient Finetuning of Quantized LLMs
24,LLM,e2b,5085,444,Python,https://github.com/e2b-dev/e2b,e2b-dev,2,2023-06-07T02:58:29Z,"Developer-first AgentOps platform - deploy, test, and monitor AI agents"
25,LLM,LLMsPracticalGuide,4867,312,,https://github.com/Mooler0410/LLMsPracticalGuide,Mooler0410,5,2023-05-29T05:26:55Z,"A curated list of practical guide resources of LLMs (LLMs Tree, Examples, Papers)"
26,LLM,openplayground,4727,309,TypeScript,https://github.com/nat/openplayground,nat,41,2023-06-05T22:55:50Z,An LLM playground you can run on your laptop
27,LLM,dify,4316,596,TypeScript,https://github.com/langgenius/dify,langgenius,26,2023-06-07T03:21:52Z,"One API for plugins and datasets, one interface for prompt engineering and visual operation, all for creating powerful AI applications."
28,LLM,Awesome-LLM,4178,274,,https://github.com/Hannibal046/Awesome-LLM,Hannibal046,0,2023-06-06T06:16:09Z,Awesome-LLM: a curated list of Large Language Model
29,LLM,wenda,3902,476,JavaScript,https://github.com/wenda-LLM/wenda,wenda-LLM,9,2023-06-07T03:05:24Z,闻达：一个LLM调用平台。为小模型外挂知识库查找和设计自动执行动作，实现不亚于于大模型的生成能力
30,LLM,PentestGPT,3866,377,Python,https://github.com/GreyDGL/PentestGPT,GreyDGL,14,2023-06-02T09:56:22Z,A GPT-empowered penetration testing tool
31,LLM,llm,3851,193,Rust,https://github.com/rustformers/llm,rustformers,37,2023-06-07T02:54:08Z,An ecosystem of Rust libraries for working with large language models
32,LLM,CodeGen,3669,261,Python,https://github.com/salesforce/CodeGen,salesforce,21,2023-05-22T06:42:19Z,CodeGen is an open-source model for program synthesis. Trained on TPU-v4. Competitive with OpenAI Codex.
33,LLM,GPTCache,3654,228,Python,https://github.com/zilliztech/GPTCache,zilliztech,11,2023-06-06T17:57:30Z,Semantic cache for LLMs. Fully integrated with LangChain and llama_index. 
34,LLM,DB-GPT,3583,500,Python,https://github.com/csunny/DB-GPT,csunny,36,2023-06-07T02:17:03Z,Revolutionizing Database Interactions with Private LLM Technology
35,LLM,SuperAGI,3517,327,Python,https://github.com/TransformerOptimus/SuperAGI,TransformerOptimus,91,2023-06-06T20:04:40Z,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably."
36,LLM,gorilla,3340,202,Python,https://github.com/ShishirPatil/gorilla,ShishirPatil,8,2023-06-06T18:17:37Z,Gorilla: An API store for LLMs
37,LLM,chatgpt-wrapper,3304,439,Python,https://github.com/mmabrouk/chatgpt-wrapper,mmabrouk,9,2023-06-06T21:27:10Z,API for interacting with ChatGPT and GPT4 using Python and from Shell.
38,LLM,Bard-API,3277,419,Python,https://github.com/dsdanielpark/Bard-API,dsdanielpark,6,2023-06-06T14:54:06Z,The unofficial python package that returns response of Google Bard through cookie value.
39,LLM,Learn_Prompting,3169,475,TeX,https://github.com/trigaten/Learn_Prompting,trigaten,88,2023-06-05T21:31:25Z,
40,LLM,postgresml,3104,116,Rust,https://github.com/postgresml/postgresml,postgresml,44,2023-06-06T21:26:46Z,"PostgresML is an AI application database. Download open source models from Huggingface, or train your own, to create and index LLM embeddings, generate text, or make online predictions using only SQL. "
41,LLM,researchgpt,3063,286,Python,https://github.com/mukulpatnaik/researchgpt,mukulpatnaik,4,2023-06-04T16:09:10Z,A LLM based research assistant that allows you to have a conversation with a research paper
42,LLM,Huatuo-Llama-Med-Chinese,2958,263,Python,https://github.com/SCIR-HI/Huatuo-Llama-Med-Chinese,SCIR-HI,26,2023-05-19T09:16:17Z,"Repo for BenTsao [original name: HuaTuo (华驼)], Llama-7B tuned with Chinese medical knowledge. 本草（原名：华驼）模型仓库，基于中文医学知识的LLaMA模型指令微调"
43,LLM,Luotuo-Chinese-LLM,2872,201,Jupyter Notebook,https://github.com/LC1332/Luotuo-Chinese-LLM,LC1332,2,2023-05-23T08:07:26Z,骆驼(Luotuo): Open Sourced Chinese Language Models. Developed by 陈启源 @ 华中师范大学 & 李鲁鲁 @ 商汤科技 & 冷子昂 @ 商汤科技
44,LLM,llm-numbers,2801,81,,https://github.com/ray-project/llm-numbers,ray-project,2,2023-05-23T18:46:14Z,Numbers every LLM developer should know
45,LLM,GPT-4-LLM,2787,197,HTML,https://github.com/Instruction-Tuning-with-GPT-4/GPT-4-LLM,Instruction-Tuning-with-GPT-4,4,2023-04-19T03:11:54Z,Instruction Tuning with GPT-4
46,LLM,awesome-langchain,2776,140,,https://github.com/kyrolabs/awesome-langchain,kyrolabs,0,2023-06-05T21:51:01Z,😎 Awesome list of tools and projects with the awesome LangChain framework
47,LLM,marvin,2769,296,Python,https://github.com/PrefectHQ/marvin,PrefectHQ,23,2023-06-06T22:05:48Z,A batteries-included library for building AI-powered software
48,LLM,paper-qa,2585,220,Python,https://github.com/whitead/paper-qa,whitead,31,2023-06-07T03:16:15Z,LLM Chain for answering questions from documents with citations
49,LLM,alpa,2512,300,Python,https://github.com/alpa-projects/alpa,alpa-projects,44,2023-05-19T23:23:22Z,Training and serving large-scale neural networks
50,LLM,LLM-As-Chatbot,2391,287,Python,https://github.com/deep-diver/LLM-As-Chatbot,deep-diver,8,2023-06-05T15:20:08Z,LLM as a Chatbot Service
51,LLM,unlocking-the-power-of-llms,2347,150,Shell,https://github.com/howl-anderson/unlocking-the-power-of-llms,howl-anderson,2,2023-05-11T16:04:16Z,使用 Prompts 和 Chains 让 ChatGPT 成为神奇的生产力工具！Unlocking the power of LLMs.
52,LLM,InternGPT,2313,149,Python,https://github.com/OpenGVLab/InternGPT,OpenGVLab,8,2023-06-07T03:08:13Z,"InternGPT (iGPT) is an open source demo platform where you can easily showcase your AI models. Now it supports DragGAN, ChatGPT, ImageBind, multimodal chat like GPT-4, SAM, interactive image editing, etc. Try it at igpt.opengvlab.com (支持DragGAN、ChatGPT、ImageBind、SAM的在线Demo系统)"
53,LLM,towhee,2272,205,Python,https://github.com/towhee-io/towhee,towhee-io,6,2023-06-06T09:01:13Z,Towhee is a framework that is dedicated to making neural data processing pipelines simple and fast.
