rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,60545,8292,Python,https://github.com/langchain-ai/langchain,langchain-ai,2374,2023-09-01T02:14:23Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt_academic,40399,5314,Python,https://github.com/binary-husky/gpt_academic,binary-husky,308,2023-09-01T02:45:32Z,"为ChatGPT/GLM提供图形交互界面，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm2等本地模型。兼容文心一言, moss, llama2, rwkv, claude2, 通义千问, 书生, 讯飞星火等。"
3,LLM,MetaGPT,24622,2798,Python,https://github.com/geekan/MetaGPT,geekan,111,2023-08-31T03:09:40Z,"🌟 The Multi-Agent Framework: Given one line Requirement, return PRD, Design, Tasks, Repo"
4,LLM,milvus,22556,2485,Go,https://github.com/milvus-io/milvus,milvus-io,629,2023-09-01T03:17:01Z,"A cloud-native vector database, storage for next generation AI applications"
5,LLM,quivr,22127,2307,TypeScript,https://github.com/StanGirard/quivr,StanGirard,139,2023-08-31T16:25:57Z,"🧠 Your Second Brain supercharged by Generative AI 🧠 Dump all your files and chat with your personal assistant on your files & more using GPT 3.5/4, Private, Anthropic, VertexAI, LLMs..."
6,LLM,JARVIS,21709,1862,Python,https://github.com/microsoft/JARVIS,microsoft,66,2023-08-25T17:23:43Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
7,LLM,llama_index,20767,2390,Python,https://github.com/jerryjliu/llama_index,jerryjliu,343,2023-09-01T01:25:16Z,LlamaIndex (GPT Index) is a data framework for your LLM applications
8,LLM,mindsdb,17746,2265,Python,https://github.com/mindsdb/mindsdb,mindsdb,534,2023-09-01T00:15:36Z,MindsDB connects AI models to databases.
9,LLM,Mr.-Ranedeer-AI-Tutor,15993,1557,,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,JushBJJ,8,2023-08-31T05:52:22Z,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.
10,LLM,unilm,15209,2101,Python,https://github.com/microsoft/unilm,microsoft,396,2023-08-29T14:07:57Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
11,LLM,Flowise,15052,6289,TypeScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,150,2023-09-01T01:49:35Z,Drag & drop UI to build your customized LLM flow
12,LLM,Langchain-Chatchat,14994,2453,Python,https://github.com/chatchat-space/Langchain-Chatchat,chatchat-space,613,2023-09-01T02:23:57Z,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM 等语言模型的本地知识库问答 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM) QA app with langchain "
13,LLM,chatbox,14449,1530,TypeScript,https://github.com/Bin-Huang/chatbox,Bin-Huang,226,2023-08-20T11:18:51Z,"Chatbox is a desktop app for multiple cutting-edge LLM models that available on Windows, Mac, Linux"
14,LLM,Chinese-LLaMA-Alpaca,14303,1480,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,8,2023-08-30T11:05:25Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
15,LLM,dalai,12700,1436,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,296,2023-06-30T13:51:06Z,The simplest way to run LLaMA on your local machine
16,LLM,mlc-llm,12429,890,Python,https://github.com/mlc-ai/mlc-llm,mlc-ai,134,2023-08-31T22:54:56Z,"Enable everyone to develop, optimize and deploy AI models natively on everyone's devices."
17,LLM,ChuanhuChatGPT,12142,1912,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,60,2023-08-31T18:05:51Z,GUI for ChatGPT API and many LLMs
18,LLM,semantic-kernel,12132,1750,C#,https://github.com/microsoft/semantic-kernel,microsoft,339,2023-09-01T01:35:27Z,Integrate cutting-edge LLM technology quickly and easily into your apps
19,LLM,ChatGLM2-6B,12108,1950,Python,https://github.com/THUDM/ChatGLM2-6B,THUDM,284,2023-08-28T02:51:52Z,ChatGLM2-6B: An Open Bilingual Chat LLM | 开源双语对话语言模型
20,LLM,SuperAGI,11929,1408,Python,https://github.com/TransformerOptimus/SuperAGI,TransformerOptimus,141,2023-08-31T21:48:21Z,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably."
21,LLM,evals,11642,2236,Python,https://github.com/openai/evals,openai,74,2023-08-30T03:23:10Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
22,LLM,botpress,10959,1551,TypeScript,https://github.com/botpress/botpress,botpress,1,2023-09-01T02:50:20Z,The open-source hub to build & deploy GPT/LLM Agents ⚡️
23,LLM,LocalAI,10622,933,Go,https://github.com/go-skynet/LocalAI,go-skynet,124,2023-09-01T02:20:15Z,":robot: Self-hosted, community-driven, local OpenAI compatible API. Drop-in replacement for OpenAI running LLMs on consumer-grade hardware. Free Open Source OpenAI alternative. No GPU required. Runs ggml, gguf, GPTQ, onnx, TF compatible models: llama, llama2, gpt4all, rwkv, whisper, vicuna, koala, cerebras, falcon, dolly, starcoder, and many others"
24,LLM,haystack,10522,1349,Python,https://github.com/deepset-ai/haystack,deepset-ai,383,2023-08-31T17:33:27Z,":mag: LLM orchestration framework to build customizable, production-ready LLM applications. Connect components (models, vector DBs, file converters) to pipelines or agents that can interact with your data. With advanced retrieval methods, it's best suited for building RAG, question answering, semantic search or conversational agent chatbots."
25,LLM,PaddleNLP,10043,2621,Python,https://github.com/PaddlePaddle/PaddleNLP,PaddlePaddle,533,2023-09-01T02:35:07Z,"👑 Easy-to-use and powerful NLP and LLM library with 🤗 Awesome model zoo, supporting wide-range of NLP tasks from research to industrial applications, including 🗂Text Classification,  🔍 Neural Search, ❓ Question Answering, ℹ️ Information Extraction, 📄 Document Intelligence, 💌 Sentiment Analysis etc."
26,LLM,RWKV-LM,9644,661,Python,https://github.com/BlinkDL/RWKV-LM,BlinkDL,26,2023-08-29T10:46:51Z,"RWKV is an RNN with transformer-level LLM performance. It can be directly trained like a GPT (parallelizable). So it's combining the best of RNN and transformer - great performance, fast inference, saves VRAM, fast training, ""infinite"" ctx_len, and free sentence embedding."
