rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,50549,6298,Python,https://github.com/hwchase17/langchain,hwchase17,1694,2023-06-27T03:09:45Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt_academic,36677,4697,Python,https://github.com/binary-husky/gpt_academic,binary-husky,300,2023-06-26T01:59:23Z,"为ChatGPT/GLM提供图形交互界面，特别优化论文阅读润色体验，模块化设计支持自定义快捷按钮&函数插件，支持代码块表格显示，Tex公式双显示，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持清华chatglm等本地模型。兼容复旦MOSS, llama, rwkv, 盘古, newbing, claude等"
3,LLM,JARVIS,21101,1728,Python,https://github.com/microsoft/JARVIS,microsoft,63,2023-06-25T02:57:04Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
4,LLM,milvus,20296,2294,Go,https://github.com/milvus-io/milvus,milvus-io,517,2023-06-27T03:15:56Z,"A cloud-native vector database, storage for next generation AI applications"
5,LLM,llama_index,17947,1965,Python,https://github.com/jerryjliu/llama_index,jerryjliu,312,2023-06-27T03:14:20Z,LlamaIndex (GPT Index) is a data framework for your LLM applications
6,LLM,mindsdb,17056,2160,Python,https://github.com/mindsdb/mindsdb,mindsdb,482,2023-06-26T23:35:28Z,"MindsDB is a Server for Artificial Intelligence Logic. Enabling developers to ship to production AI powered projects (from the latest LLMs, vector operations, state of the art time-series forecasting to Machine Learning) in a fast and scalable way. "
7,LLM,chatbox,12974,1350,TypeScript,https://github.com/Bin-Huang/chatbox,Bin-Huang,293,2023-06-24T03:27:37Z,"Chatbox is a desktop app for GPT/LLM that supports Windows, Mac, Linux & Web Online"
8,LLM,unilm,12882,1880,Python,https://github.com/microsoft/unilm,microsoft,340,2023-06-27T01:35:57Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
9,LLM,dalai,12163,1399,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,292,2023-06-12T17:24:00Z,The simplest way to run LLaMA on your local machine
10,LLM,Chinese-LLaMA-Alpaca,11544,1205,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,28,2023-06-27T02:28:45Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
11,LLM,ChuanhuChatGPT,11363,1783,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,51,2023-06-23T16:05:30Z,GUI for ChatGPT API and many LLMs
12,LLM,evals,10844,2099,Python,https://github.com/openai/evals,openai,65,2023-06-26T22:54:26Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
13,LLM,semantic-kernel,10485,1403,C#,https://github.com/microsoft/semantic-kernel,microsoft,180,2023-06-27T03:25:57Z,Integrate cutting-edge LLM technology quickly and easily into your apps
14,LLM,botpress,10450,1445,TypeScript,https://github.com/botpress/botpress,botpress,1,2023-06-27T01:28:50Z,The open-source hub to build & deploy GPT/LLM Agents ⚡️
15,LLM,langchain-ChatGLM,10210,1523,Python,https://github.com/imClumsyPanda/langchain-ChatGLM,imClumsyPanda,363,2023-06-26T11:12:51Z,"langchain-ChatGLM, local knowledge based ChatGLM with langchain ｜ 基于本地知识库的 ChatGLM 问答"
16,LLM,mlc-llm,10143,681,Python,https://github.com/mlc-ai/mlc-llm,mlc-ai,56,2023-06-27T03:26:34Z,"Enable everyone to develop, optimize and deploy AI models natively on everyone's devices."
17,LLM,Flowise,9362,2654,JavaScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,89,2023-06-26T20:58:25Z,Drag & drop UI to build your customized LLM flow
18,LLM,haystack,9251,1251,Python,https://github.com/deepset-ai/haystack,deepset-ai,313,2023-06-26T17:59:18Z,":mag: Haystack is an open source NLP framework to interact with your data using Transformer models and LLMs (GPT-4, ChatGPT and alike). Haystack offers production-ready tools to quickly build complex question answering, semantic search, text generation applications, and more."
19,LLM,RWKV-LM,8662,582,Python,https://github.com/BlinkDL/RWKV-LM,BlinkDL,30,2023-06-26T04:51:12Z,"RWKV is an RNN with transformer-level LLM performance. It can be directly trained like a GPT (parallelizable). So it's combining the best of RNN and transformer - great performance, fast inference, saves VRAM, fast training, ""infinite"" ctx_len, and free sentence embedding."
