rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,58375,7812,Python,https://github.com/langchain-ai/langchain,langchain-ai,2279,2023-08-13T01:57:08Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt_academic,39611,5219,Python,https://github.com/binary-husky/gpt_academic,binary-husky,311,2023-08-12T12:28:26Z,"为ChatGPT/GLM提供图形交互界面，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持清华chatglm2等本地模型。兼容复旦MOSS, llama, rwkv, newbing, claude, claude2等"
3,LLM,milvus,22074,2445,Go,https://github.com/milvus-io/milvus,milvus-io,587,2023-08-13T02:57:05Z,"A cloud-native vector database, storage for next generation AI applications"
4,LLM,JARVIS,21565,1888,Python,https://github.com/microsoft/JARVIS,microsoft,66,2023-07-28T09:59:24Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
5,LLM,llama_index,20022,2270,Python,https://github.com/jerryjliu/llama_index,jerryjliu,324,2023-08-13T00:59:08Z,LlamaIndex (GPT Index) is a data framework for your LLM applications
6,LLM,quivr,19843,2100,TypeScript,https://github.com/StanGirard/quivr,StanGirard,225,2023-08-12T20:02:59Z,"🧠 Dump all your files and chat with it using your Generative AI Second Brain using LLMs ( GPT 3.5/4, Private, Anthropic, VertexAI ) & Embeddings 🧠 "
7,LLM,MetaGPT,19497,2129,Python,https://github.com/geekan/MetaGPT,geekan,87,2023-08-12T16:14:53Z,"🌟 The Multi-Agent Framework: Given one line Requirement, return PRD, Design, Tasks, Repo"
8,LLM,mindsdb,17527,2241,Python,https://github.com/mindsdb/mindsdb,mindsdb,548,2023-08-11T20:12:59Z,MindsDB connects AI models to databases.
9,LLM,Mr.-Ranedeer-AI-Tutor,15603,1494,,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,JushBJJ,8,2023-07-15T10:58:29Z,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.
10,LLM,unilm,14945,2087,Python,https://github.com/microsoft/unilm,microsoft,380,2023-08-11T14:21:40Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
11,LLM,chatbox,14189,1501,TypeScript,https://github.com/Bin-Huang/chatbox,Bin-Huang,207,2023-08-09T13:17:55Z,"Chatbox is a desktop app for multiple cutting-edge LLM models that available on Windows, Mac, Linux"
12,LLM,Chinese-LLaMA-Alpaca,13869,1432,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,18,2023-08-11T02:46:04Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
13,LLM,langchain-ChatGLM,13522,2196,Python,https://github.com/chatchat-space/langchain-ChatGLM,chatchat-space,545,2023-08-13T02:25:09Z,"langchain-ChatGLM, local knowledge based ChatGLM with langchain ｜ 基于本地知识库的 ChatGLM 问答"
14,LLM,Flowise,13246,5320,TypeScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,133,2023-08-12T12:59:12Z,Drag & drop UI to build your customized LLM flow
15,LLM,dalai,12599,1425,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,295,2023-06-30T13:51:06Z,The simplest way to run LLaMA on your local machine
16,LLM,ChuanhuChatGPT,11968,1896,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,51,2023-08-12T17:18:17Z,GUI for ChatGPT API and many LLMs
17,LLM,mlc-llm,11659,811,Python,https://github.com/mlc-ai/mlc-llm,mlc-ai,102,2023-08-13T01:13:43Z,"Enable everyone to develop, optimize and deploy AI models natively on everyone's devices."
18,LLM,semantic-kernel,11487,1641,C#,https://github.com/microsoft/semantic-kernel,microsoft,296,2023-08-12T20:22:47Z,Integrate cutting-edge LLM technology quickly and easily into your apps
19,LLM,SuperAGI,11487,1320,Python,https://github.com/TransformerOptimus/SuperAGI,TransformerOptimus,134,2023-08-12T11:14:34Z,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably."
20,LLM,evals,11465,2223,Python,https://github.com/openai/evals,openai,70,2023-08-10T18:10:03Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
21,LLM,ChatGLM2-6B,11246,1820,Python,https://github.com/THUDM/ChatGLM2-6B,THUDM,242,2023-08-11T18:12:36Z,ChatGLM2-6B: An Open Bilingual Chat LLM | 开源双语对话语言模型
22,LLM,botpress,10851,1519,TypeScript,https://github.com/botpress/botpress,botpress,3,2023-08-11T20:24:12Z,The open-source hub to build & deploy GPT/LLM Agents ⚡️
23,LLM,haystack,10354,1331,Python,https://github.com/deepset-ai/haystack,deepset-ai,370,2023-08-12T17:17:30Z,":mag: LLM orchestration framework to build customizable, production-ready LLM applications. Connect components (Models, Vector DBs, File Converters) to Pipelines or Agents that can interact with your data. With advanced retrieval methods, it's best suited for building RAG, question answering, semantic search and conversational agent"
24,LLM,PaddleNLP,9902,2613,Python,https://github.com/PaddlePaddle/PaddleNLP,PaddlePaddle,508,2023-08-12T16:16:16Z,"👑 Easy-to-use and powerful NLP library with 🤗 Awesome model zoo, supporting wide-range of NLP tasks from research to industrial applications, including 🗂Text Classification,  🔍 Neural Search, ❓ Question Answering, ℹ️ Information Extraction, 📄 Document Intelligence, 💌 Sentiment Analysis etc."
25,LLM,LocalAI,9743,871,Go,https://github.com/go-skynet/LocalAI,go-skynet,101,2023-08-12T20:41:13Z,":robot: Self-hosted, community-driven, local OpenAI compatible API. Drop-in replacement for OpenAI running LLMs on consumer-grade hardware. Free Open Source OpenAI alternative. No GPU required. LocalAI is an API to run ggml compatible models: llama, gpt4all, rwkv, whisper, vicuna, koala, gpt4all-j, cerebras, falcon, dolly, starcoder, and many other"
26,LLM,RWKV-LM,9372,645,Python,https://github.com/BlinkDL/RWKV-LM,BlinkDL,27,2023-08-09T15:20:48Z,"RWKV is an RNN with transformer-level LLM performance. It can be directly trained like a GPT (parallelizable). So it's combining the best of RNN and transformer - great performance, fast inference, saves VRAM, fast training, ""infinite"" ctx_len, and free sentence embedding."
27,LLM,ludwig,9114,1061,Python,https://github.com/ludwig-ai/ludwig,ludwig-ai,230,2023-08-12T21:44:26Z,"Low-code framework for building custom LLMs, neural networks, and other AI models"
28,LLM,peft,8798,709,Python,https://github.com/huggingface/peft,huggingface,78,2023-08-12T20:03:29Z,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.
29,LLM,pandas-ai,8138,614,Python,https://github.com/gventuri/pandas-ai,gventuri,68,2023-08-11T17:48:43Z,"PandasAI is a Python library that integrates generative artificial intelligence capabilities into Pandas, making dataframes conversational"
30,LLM,open-llms,7677,420,,https://github.com/eugeneyan/open-llms,eugeneyan,1,2023-07-28T09:01:04Z,📋 A list of open LLMs available for commercial use.
31,LLM,gorilla,7483,534,Python,https://github.com/ShishirPatil/gorilla,ShishirPatil,17,2023-08-11T20:35:54Z,Gorilla: An API store for LLMs
32,LLM,qlora,7120,616,Jupyter Notebook,https://github.com/artidoro/qlora,artidoro,147,2023-07-31T19:18:18Z,QLoRA: Efficient Finetuning of Quantized LLMs
33,LLM,dify,7010,1014,TypeScript,https://github.com/langgenius/dify,langgenius,44,2023-08-12T16:59:36Z,"One API for plugins and datasets, one interface for prompt engineering and visual operation, all for creating powerful AI applications."
34,LLM,web-llm,6874,395,TypeScript,https://github.com/mlc-ai/web-llm,mlc-ai,34,2023-08-11T04:39:27Z,Bringing large-language models and chat to web browsers. Everything runs inside the browser with no server support.
35,LLM,Awesome-LLM,6848,468,,https://github.com/Hannibal046/Awesome-LLM,Hannibal046,0,2023-08-11T06:19:19Z,Awesome-LLM: a curated list of Large Language Model
