rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,62279,8625,Python,https://github.com/langchain-ai/langchain,langchain-ai,2074,2023-09-18T02:24:21Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt4all,52164,5724,C++,https://github.com/nomic-ai/gpt4all,nomic-ai,245,2023-09-17T13:52:37Z,gpt4all: open-source LLM chatbots that you can run anywhere
3,LLM,gpt_academic,41511,5457,Python,https://github.com/binary-husky/gpt_academic,binary-husky,272,2023-09-16T16:15:32Z,"为ChatGPT/GLM提供实用化交互界面，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm2等本地模型。兼容文心一言, moss, llama2, rwkv, claude2, 通义千问, 书生, 讯飞星火等。"
4,LLM,MetaGPT,26259,3008,HTML,https://github.com/geekan/MetaGPT,geekan,126,2023-09-17T06:47:54Z,"🌟 The Multi-Agent Framework: Given one line Requirement, return PRD, Design, Tasks, Repo"
5,LLM,milvus,22921,2515,Go,https://github.com/milvus-io/milvus,milvus-io,494,2023-09-18T03:16:09Z,"A cloud-native vector database, storage for next generation AI applications"
6,LLM,quivr,22725,2381,TypeScript,https://github.com/StanGirard/quivr,StanGirard,122,2023-09-17T22:27:37Z,"🧠 Your Second Brain supercharged by Generative AI 🧠 Dump all your files and chat with your personal assistant on your files & more using GPT 3.5/4, Private, Anthropic, VertexAI, LLMs..."
7,LLM,JARVIS,21813,1871,Python,https://github.com/microsoft/JARVIS,microsoft,66,2023-09-10T05:50:43Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
8,LLM,llama_index,21389,2472,Python,https://github.com/jerryjliu/llama_index,jerryjliu,255,2023-09-18T01:12:47Z,LlamaIndex (GPT Index) is a data framework for your LLM applications
9,LLM,mindsdb,17869,2279,Python,https://github.com/mindsdb/mindsdb,mindsdb,558,2023-09-17T11:27:00Z,MindsDB connects AI models to databases.
10,LLM,Mr.-Ranedeer-AI-Tutor,16394,1595,,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,JushBJJ,8,2023-08-31T05:52:22Z,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.
11,LLM,Flowise,15732,6873,TypeScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,169,2023-09-16T23:05:44Z,Drag & drop UI to build your customized LLM flow
12,LLM,Langchain-Chatchat,15726,2636,Python,https://github.com/chatchat-space/Langchain-Chatchat,chatchat-space,668,2023-09-18T03:00:04Z,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM 等语言模型的本地知识库问答 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM) QA app with langchain "
13,LLM,unilm,15436,2121,Python,https://github.com/microsoft/unilm,microsoft,406,2023-08-29T14:07:57Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
14,LLM,chatbox,14646,1552,TypeScript,https://github.com/Bin-Huang/chatbox,Bin-Huang,223,2023-09-15T08:47:20Z,"Chatbox is a desktop app for multiple cutting-edge LLM models that available on Windows, Mac, Linux"
15,LLM,Chinese-LLaMA-Alpaca,14597,1512,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,1,2023-08-30T11:05:25Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
16,LLM,semantic-kernel,13021,1869,C#,https://github.com/microsoft/semantic-kernel,microsoft,309,2023-09-17T07:15:47Z,Integrate cutting-edge LLM technology quickly and easily into your apps
17,LLM,mlc-llm,12870,920,Python,https://github.com/mlc-ai/mlc-llm,mlc-ai,150,2023-09-15T03:34:30Z,"Enable everyone to develop, optimize and deploy AI models natively on everyone's devices."
18,LLM,ChatGLM2-6B,12772,2043,Python,https://github.com/THUDM/ChatGLM2-6B,THUDM,320,2023-09-12T08:41:27Z,ChatGLM2-6B: An Open Bilingual Chat LLM | 开源双语对话语言模型
19,LLM,dalai,12746,1436,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,296,2023-06-30T13:51:06Z,The simplest way to run LLaMA on your local machine
20,LLM,ChuanhuChatGPT,12325,1949,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,55,2023-09-17T14:34:18Z,"GUI for ChatGPT API and many LLMs. Supports agents, file-based QA, GPT finetuning and query with web search. All with a neat UI."
21,LLM,SuperAGI,12194,1456,Python,https://github.com/TransformerOptimus/SuperAGI,TransformerOptimus,139,2023-09-17T03:41:24Z,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably."
22,LLM,evals,11785,2259,Python,https://github.com/openai/evals,openai,76,2023-09-14T14:03:57Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
23,LLM,LocalAI,11149,993,Go,https://github.com/go-skynet/LocalAI,go-skynet,150,2023-09-18T01:21:26Z,":robot: Self-hosted, community-driven, local OpenAI compatible API. Drop-in replacement for OpenAI running LLMs on consumer-grade hardware. Free Open Source OpenAI alternative. No GPU required. Runs ggml, gguf, GPTQ, onnx, TF compatible models: llama, llama2, gpt4all, rwkv, whisper, vicuna, koala, cerebras, falcon, dolly, starcoder, and many others"
24,LLM,botpress,11023,1561,TypeScript,https://github.com/botpress/botpress,botpress,3,2023-09-15T16:34:26Z,The open-source hub to build & deploy GPT/LLM Agents ⚡️
25,LLM,haystack,10701,1376,Python,https://github.com/deepset-ai/haystack,deepset-ai,395,2023-09-16T16:55:13Z,":mag: LLM orchestration framework to build customizable, production-ready LLM applications. Connect components (models, vector DBs, file converters) to pipelines or agents that can interact with your data. With advanced retrieval methods, it's best suited for building RAG, question answering, semantic search or conversational agent chatbots."
26,LLM,PaddleNLP,10174,2638,Python,https://github.com/PaddlePaddle/PaddleNLP,PaddlePaddle,568,2023-09-18T03:16:16Z,"👑 Easy-to-use and powerful NLP and LLM library with 🤗 Awesome model zoo, supporting wide-range of NLP tasks from research to industrial applications, including 🗂Text Classification,  🔍 Neural Search, ❓ Question Answering, ℹ️ Information Extraction, 📄 Document Intelligence, 💌 Sentiment Analysis etc."
27,LLM,RWKV-LM,9774,672,Python,https://github.com/BlinkDL/RWKV-LM,BlinkDL,29,2023-09-16T20:04:19Z,"RWKV is an RNN with transformer-level LLM performance. It can be directly trained like a GPT (parallelizable). So it's combining the best of RNN and transformer - great performance, fast inference, saves VRAM, fast training, ""infinite"" ctx_len, and free sentence embedding."
28,LLM,ludwig,9711,1094,Python,https://github.com/ludwig-ai/ludwig,ludwig-ai,242,2023-09-17T22:35:22Z,"Low-code framework for building custom LLMs, neural networks, and other AI models"
29,LLM,peft,9667,782,Python,https://github.com/huggingface/peft,huggingface,62,2023-09-17T09:32:49Z,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.
30,LLM,pandas-ai,8531,671,Python,https://github.com/gventuri/pandas-ai,gventuri,96,2023-09-17T23:42:58Z,"PandasAI is the Python library that integrates Gen AI into pandas, making data analysis conversational"
31,LLM,dify,8404,1232,TypeScript,https://github.com/langgenius/dify,langgenius,29,2023-09-18T02:53:30Z,"One API for plugins and datasets, one interface for prompt engineering and visual operation, all for creating powerful AI applications."
32,LLM,llama-gpt,8368,493,TypeScript,https://github.com/getumbrel/llama-gpt,getumbrel,48,2023-09-16T00:28:01Z,"A self-hosted, offline, ChatGPT-like chatbot. Powered by Llama 2. 100% private, with no data leaving your device. New: Code Llama support!"
33,LLM,gorilla,8182,605,Python,https://github.com/ShishirPatil/gorilla,ShishirPatil,25,2023-09-12T01:05:56Z,Gorilla: An API store for LLMs
34,LLM,open-llms,7991,443,,https://github.com/eugeneyan/open-llms,eugeneyan,1,2023-08-29T02:09:31Z,📋 A list of open LLMs available for commercial use.
35,LLM,Awesome-LLM,7824,562,,https://github.com/Hannibal046/Awesome-LLM,Hannibal046,0,2023-09-17T15:00:57Z,Awesome-LLM: a curated list of Large Language Model
36,LLM,qlora,7626,658,Jupyter Notebook,https://github.com/artidoro/qlora,artidoro,164,2023-09-06T21:05:48Z,QLoRA: Efficient Finetuning of Quantized LLMs
37,LLM,h2ogpt,7456,883,Python,https://github.com/h2oai/h2ogpt,h2oai,151,2023-09-17T08:32:20Z,"Private Q&A and summarization of documents+images or chat with local GPT, 100% private, Apache 2.0. Supports LLaMa2, llama.cpp, and more. Demo: https://gpt.h2o.ai/ https://codellama.h2o.ai/"
38,LLM,web-llm,7437,433,TypeScript,https://github.com/mlc-ai/web-llm,mlc-ai,45,2023-09-11T13:32:35Z,Bringing large-language models and chat to web browsers. Everything runs inside the browser with no server support.
39,LLM,WizardLM,7213,531,Python,https://github.com/nlpxucan/WizardLM,nlpxucan,125,2023-09-09T06:47:20Z,"Family of instruction-following LLMs powered by Evol-Instruct: WizardLM, WizardCoder and WizardMath"
40,LLM,petals,7153,346,Python,https://github.com/bigscience-workshop/petals,bigscience-workshop,62,2023-09-15T19:53:58Z,"🌸 Run LLMs at home, BitTorrent-style. Fine-tuning and inference up to 10x faster than offloading"
41,LLM,ollama,7112,387,Go,https://github.com/jmorganca/ollama,jmorganca,70,2023-09-17T21:00:55Z,Get up and running with Llama 2 and other large language models locally
42,LLM,DB-GPT,6945,988,Python,https://github.com/eosphoros-ai/DB-GPT,eosphoros-ai,157,2023-09-18T02:42:14Z,Revolutionizing Database Interactions with Private LLM Technology
43,LLM,vllm,6902,732,Python,https://github.com/vllm-project/vllm,vllm-project,309,2023-09-18T01:40:43Z,A high-throughput and memory-efficient inference and serving engine for LLMs
44,LLM,deeplake,6852,527,Python,https://github.com/activeloopai/deeplake,activeloopai,48,2023-09-17T12:05:31Z,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai"
45,LLM,TypeChat,6562,290,TypeScript,https://github.com/microsoft/TypeChat,microsoft,28,2023-09-13T16:01:34Z,TypeChat is a library that makes it easy to build natural language interfaces using types.
46,LLM,prompt-engineering-for-developers,6513,767,Jupyter Notebook,https://github.com/datawhalechina/prompt-engineering-for-developers,datawhalechina,3,2023-09-17T13:02:53Z,面向开发者的 LLM 入门教程，吴恩达大模型系列课程中文版
47,LLM,LLMsPracticalGuide,6470,458,,https://github.com/Mooler0410/LLMsPracticalGuide,Mooler0410,7,2023-08-06T18:49:52Z,"A curated list of practical guide resources of LLMs (LLMs Tree, Examples, Papers)"
48,LLM,OpenLLM,5997,411,Python,https://github.com/bentoml/OpenLLM,bentoml,34,2023-09-16T03:46:58Z,Operating LLMs in production
49,LLM,Self-Hosting-Guide,5949,277,Dockerfile,https://github.com/mikeroyal/Self-Hosting-Guide,mikeroyal,0,2023-09-17T21:52:31Z,"Self-Hosting Guide. Learn all about  locally hosting (on premises & private web servers) and managing software applications by yourself or your organization. Including Cloud, LLMs, WireGuard, Automation, Home Assistant, and Networking."
50,LLM,LLMSurvey,5582,445,Python,https://github.com/RUCAIBox/LLMSurvey,RUCAIBox,11,2023-08-31T06:42:28Z,"The official GitHub page for the survey paper ""A Survey of Large Language Models""."
51,LLM,Llama2-Chinese,5554,484,Python,https://github.com/FlagAlpha/Llama2-Chinese,FlagAlpha,66,2023-09-12T11:52:28Z,Llama中文社区，最好的中文Llama大模型，完全开源可商用
52,LLM,e2b,5428,474,TypeScript,https://github.com/e2b-dev/e2b,e2b-dev,4,2023-09-15T17:27:14Z,Cloud OS for AI Agents
53,LLM,wenda,5427,694,JavaScript,https://github.com/wenda-LLM/wenda,wenda-LLM,28,2023-09-02T12:34:30Z,闻达：一个LLM调用平台。目标为针对特定环境的高效内容生成，同时考虑个人和中小企业的计算资源局限性，以及知识安全和私密性问题
54,LLM,openplayground,5415,393,TypeScript,https://github.com/nat/openplayground,nat,51,2023-08-26T18:51:53Z,An LLM playground you can run on your laptop
55,LLM,sweep,5365,206,Python,https://github.com/sweepai/sweep,sweepai,138,2023-09-18T01:41:33Z,Sweep: AI-powered Junior Developer for small features and bug fixes.
56,LLM,GPTCache,5193,349,Python,https://github.com/zilliztech/GPTCache,zilliztech,23,2023-09-14T14:14:44Z,Semantic cache for LLMs. Fully integrated with LangChain and llama_index. 
57,LLM,RealChar,5144,566,JavaScript,https://github.com/Shaunwei/RealChar,Shaunwei,49,2023-09-17T18:52:16Z,"🎙️🤖Create, Customize and Talk to your AI Character/Companion in Realtime (All in One Codebase!). Have a natural seamless conversation with AI everywhere (mobile, web and terminal) using LLM OpenAI GPT3.5/4, Anthropic Claude2, Chroma Vector DB, Whisper Speech2Text, ElevenLabs Text2Speech🎙️🤖"
58,LLM,embedchain,5052,926,Python,https://github.com/embedchain/embedchain,embedchain,99,2023-09-17T18:49:39Z,"Data platform for LLMs - Load, index, retrieve and sync any unstructured data"
59,LLM,txtai,5036,388,Python,https://github.com/neuml/txtai,neuml,19,2023-09-11T17:17:29Z,"💡 All-in-one open-source embeddings database for semantic search, LLM orchestration and language model workflows"
60,LLM,PentestGPT,5025,569,Python,https://github.com/GreyDGL/PentestGPT,GreyDGL,14,2023-09-11T05:30:30Z,A GPT-empowered penetration testing tool
61,LLM,awesome-langchain,4946,324,,https://github.com/kyrolabs/awesome-langchain,kyrolabs,0,2023-09-12T22:10:34Z,😎 Awesome list of tools and projects with the awesome LangChain framework
62,LLM,llm,4866,273,Rust,https://github.com/rustformers/llm,rustformers,64,2023-09-16T16:13:30Z,An ecosystem of Rust libraries for working with large language models
63,LLM,OpenChat,4645,699,Blade,https://github.com/openchatai/OpenChat,openchatai,28,2023-09-13T09:39:03Z,LLMs custom-chatbots console ⚡
