rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,69914,10281,Python,https://github.com/langchain-ai/langchain,langchain-ai,1646,2023-12-02T03:17:20Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt4all,55466,6077,C++,https://github.com/nomic-ai/gpt4all,nomic-ai,278,2023-12-01T22:06:48Z,gpt4all: open-source LLM chatbots that you can run anywhere
3,LLM,gpt_academic,48138,6227,Python,https://github.com/binary-husky/gpt_academic,binary-husky,261,2023-12-01T08:26:51Z,"为ChatGPT/GLM提供实用化交互界面，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm2等本地模型。兼容文心一言, moss, llama2, rwkv, claude2, 通义千问, 书生, 讯飞星火等。"
4,LLM,MetaGPT,30937,3620,Python,https://github.com/geekan/MetaGPT,geekan,157,2023-12-01T16:09:09Z,"🌟 The Multi-Agent Framework: Given one line Requirement, return PRD, Design, Tasks, Repo"
5,LLM,quivr,25289,2828,TypeScript,https://github.com/StanGirard/quivr,StanGirard,123,2023-12-01T23:36:02Z,"Your GenAI Second Brain 🧠  A personal productivity assistant ⚡️🤖 Chat with your files (PDF, CSV, ...)  & apps using GPT 3.5 / 4 turbo, Private, Anthropic, VertexAI, Ollama, LLMs, that you can share with users !  Local & Private alternative to OpenAI GPTs & ChatGPT"
6,LLM,llama_index,24517,3041,Python,https://github.com/run-llama/llama_index,run-llama,219,2023-12-02T03:09:06Z,LlamaIndex (formerly GPT Index) is a data framework for your LLM applications
7,LLM,milvus,24337,2623,Go,https://github.com/milvus-io/milvus,milvus-io,492,2023-12-01T15:06:26Z,"A cloud-native vector database, storage for next generation AI applications"
8,LLM,JARVIS,22168,1912,Python,https://github.com/microsoft/JARVIS,microsoft,69,2023-12-01T01:47:08Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
9,LLM,Mr.-Ranedeer-AI-Tutor,21157,2268,,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,JushBJJ,10,2023-11-18T21:18:14Z,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.
10,LLM,ollama,19902,1088,Go,https://github.com/jmorganca/ollama,jmorganca,237,2023-12-02T00:21:50Z,Get up and running with Llama 2 and other large language models locally
11,LLM,mindsdb,19119,2557,Python,https://github.com/mindsdb/mindsdb,mindsdb,493,2023-12-01T22:11:26Z,MindsDB connects AI models to real time data
12,LLM,Langchain-Chatchat,19019,3231,Python,https://github.com/chatchat-space/Langchain-Chatchat,chatchat-space,36,2023-12-02T02:52:38Z,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM 等语言模型的本地知识库问答 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM) QA app with langchain "
13,LLM,Flowise,18243,8830,TypeScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,250,2023-12-02T02:09:09Z,Drag & drop UI to build your customized LLM flow
