rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,58596,7849,Python,https://github.com/langchain-ai/langchain,langchain-ai,2292,2023-08-15T03:01:52Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt_academic,39689,5237,Python,https://github.com/binary-husky/gpt_academic,binary-husky,312,2023-08-14T09:27:42Z,"为ChatGPT/GLM提供图形交互界面，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持清华chatglm2等本地模型。兼容复旦MOSS, llama, rwkv, newbing, claude, claude2等"
3,LLM,milvus,22126,2448,Go,https://github.com/milvus-io/milvus,milvus-io,577,2023-08-15T03:11:14Z,"A cloud-native vector database, storage for next generation AI applications"
4,LLM,JARVIS,21585,1891,Python,https://github.com/microsoft/JARVIS,microsoft,66,2023-07-28T09:59:24Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
5,LLM,MetaGPT,20872,2269,Python,https://github.com/geekan/MetaGPT,geekan,87,2023-08-15T02:30:51Z,"🌟 The Multi-Agent Framework: Given one line Requirement, return PRD, Design, Tasks, Repo"
6,LLM,llama_index,20102,2282,Python,https://github.com/jerryjliu/llama_index,jerryjliu,322,2023-08-15T02:48:29Z,LlamaIndex (GPT Index) is a data framework for your LLM applications
7,LLM,quivr,19945,2115,TypeScript,https://github.com/StanGirard/quivr,StanGirard,233,2023-08-14T20:29:29Z,"🧠 Dump all your files and chat with it using your Generative AI Second Brain using LLMs ( GPT 3.5/4, Private, Anthropic, VertexAI ) & Embeddings 🧠 "
8,LLM,mindsdb,17545,2242,Python,https://github.com/mindsdb/mindsdb,mindsdb,545,2023-08-14T17:25:55Z,MindsDB connects AI models to databases.
9,LLM,Mr.-Ranedeer-AI-Tutor,15625,1497,,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,JushBJJ,8,2023-07-15T10:58:29Z,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.
10,LLM,unilm,14965,2089,Python,https://github.com/microsoft/unilm,microsoft,382,2023-08-11T14:21:40Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
11,LLM,chatbox,14211,1506,TypeScript,https://github.com/Bin-Huang/chatbox,Bin-Huang,211,2023-08-09T13:17:55Z,"Chatbox is a desktop app for multiple cutting-edge LLM models that available on Windows, Mac, Linux"
12,LLM,Chinese-LLaMA-Alpaca,13913,1434,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,13,2023-08-14T07:10:55Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
13,LLM,Flowise,13738,5454,TypeScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,136,2023-08-15T00:13:48Z,Drag & drop UI to build your customized LLM flow
14,LLM,Langchain-Chatchat,13665,2220,Python,https://github.com/chatchat-space/Langchain-Chatchat,chatchat-space,567,2023-08-15T03:09:54Z,"Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM) QA app with langchain ｜ 基于 Langchain 与 ChatGLM 等语言模型的本地知识库问答"
15,LLM,dalai,12609,1426,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,295,2023-06-30T13:51:06Z,The simplest way to run LLaMA on your local machine
16,LLM,ChuanhuChatGPT,11988,1897,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,51,2023-08-13T13:43:29Z,GUI for ChatGPT API and many LLMs
17,LLM,mlc-llm,11866,833,Python,https://github.com/mlc-ai/mlc-llm,mlc-ai,106,2023-08-15T00:54:03Z,"Enable everyone to develop, optimize and deploy AI models natively on everyone's devices."
18,LLM,SuperAGI,11549,1338,Python,https://github.com/TransformerOptimus/SuperAGI,TransformerOptimus,135,2023-08-14T22:24:01Z,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably."
19,LLM,semantic-kernel,11524,1650,C#,https://github.com/microsoft/semantic-kernel,microsoft,302,2023-08-15T03:16:24Z,Integrate cutting-edge LLM technology quickly and easily into your apps
20,LLM,evals,11486,2223,Python,https://github.com/openai/evals,openai,70,2023-08-14T09:32:10Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
21,LLM,ChatGLM2-6B,11349,1839,Python,https://github.com/THUDM/ChatGLM2-6B,THUDM,250,2023-08-11T18:12:36Z,ChatGLM2-6B: An Open Bilingual Chat LLM | 开源双语对话语言模型
22,LLM,botpress,10861,1522,TypeScript,https://github.com/botpress/botpress,botpress,3,2023-08-14T20:38:04Z,The open-source hub to build & deploy GPT/LLM Agents ⚡️
23,LLM,haystack,10367,1336,Python,https://github.com/deepset-ai/haystack,deepset-ai,371,2023-08-15T00:59:07Z,":mag: LLM orchestration framework to build customizable, production-ready LLM applications. Connect components (Models, Vector DBs, File Converters) to Pipelines or Agents that can interact with your data. With advanced retrieval methods, it's best suited for building RAG, question answering, semantic search and conversational agent"
24,LLM,PaddleNLP,9909,2615,Python,https://github.com/PaddlePaddle/PaddleNLP,PaddlePaddle,517,2023-08-15T03:11:36Z,"👑 Easy-to-use and powerful NLP library with 🤗 Awesome model zoo, supporting wide-range of NLP tasks from research to industrial applications, including 🗂Text Classification,  🔍 Neural Search, ❓ Question Answering, ℹ️ Information Extraction, 📄 Document Intelligence, 💌 Sentiment Analysis etc."
25,LLM,LocalAI,9835,877,Go,https://github.com/go-skynet/LocalAI,go-skynet,102,2023-08-15T02:21:03Z,":robot: Self-hosted, community-driven, local OpenAI compatible API. Drop-in replacement for OpenAI running LLMs on consumer-grade hardware. Free Open Source OpenAI alternative. No GPU required. Runs ggml, GPTQ, onnx, TF compatible models: llama, gpt4all, rwkv, whisper, vicuna, koala, gpt4all-j, cerebras, falcon, dolly, starcoder, and many others"
26,LLM,RWKV-LM,9391,646,Python,https://github.com/BlinkDL/RWKV-LM,BlinkDL,27,2023-08-14T16:18:37Z,"RWKV is an RNN with transformer-level LLM performance. It can be directly trained like a GPT (parallelizable). So it's combining the best of RNN and transformer - great performance, fast inference, saves VRAM, fast training, ""infinite"" ctx_len, and free sentence embedding."
27,LLM,ludwig,9125,1061,Python,https://github.com/ludwig-ai/ludwig,ludwig-ai,230,2023-08-14T16:52:40Z,"Low-code framework for building custom LLMs, neural networks, and other AI models"
28,LLM,peft,8842,710,Python,https://github.com/huggingface/peft,huggingface,75,2023-08-12T20:03:29Z,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.
29,LLM,pandas-ai,8155,621,Python,https://github.com/gventuri/pandas-ai,gventuri,65,2023-08-14T08:42:46Z,"PandasAI is a Python library that integrates generative artificial intelligence capabilities into Pandas, making dataframes conversational"
30,LLM,open-llms,7705,423,,https://github.com/eugeneyan/open-llms,eugeneyan,1,2023-07-28T09:01:04Z,📋 A list of open LLMs available for commercial use.
31,LLM,gorilla,7585,544,Python,https://github.com/ShishirPatil/gorilla,ShishirPatil,20,2023-08-11T20:35:54Z,Gorilla: An API store for LLMs
32,LLM,qlora,7142,616,Jupyter Notebook,https://github.com/artidoro/qlora,artidoro,147,2023-07-31T19:18:18Z,QLoRA: Efficient Finetuning of Quantized LLMs
33,LLM,dify,7141,1035,TypeScript,https://github.com/langgenius/dify,langgenius,27,2023-08-15T02:49:34Z,"One API for plugins and datasets, one interface for prompt engineering and visual operation, all for creating powerful AI applications."
34,LLM,Awesome-LLM,6921,471,,https://github.com/Hannibal046/Awesome-LLM,Hannibal046,0,2023-08-15T03:08:00Z,Awesome-LLM: a curated list of Large Language Model
35,LLM,web-llm,6900,397,TypeScript,https://github.com/mlc-ai/web-llm,mlc-ai,35,2023-08-11T04:39:27Z,Bringing large-language models and chat to web browsers. Everything runs inside the browser with no server support.
36,LLM,h2ogpt,6780,783,Python,https://github.com/h2oai/h2ogpt,h2oai,165,2023-08-15T02:56:12Z,"Private Q&A and summarization of documents+images or chat with local GPT, 100% private, Apache 2.0. Supports LLaMa2, llama.cpp, and more. Demo: https://gpt.h2o.ai/"
37,LLM,petals,6703,323,Python,https://github.com/bigscience-workshop/petals,bigscience-workshop,63,2023-08-14T20:21:03Z,"🌸 Run LLMs at home, BitTorrent-style. Fine-tuning and inference up to 10x faster than offloading"
38,LLM,deeplake,6663,510,Python,https://github.com/activeloopai/deeplake,activeloopai,45,2023-08-14T22:01:24Z,"Database for AI. Store Vectors, Images, Texts, Videos, etc. Use with LLMs/LangChain. Store, query, version, & visualize any AI data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai"
39,LLM,TypeChat,6015,254,TypeScript,https://github.com/microsoft/TypeChat,microsoft,21,2023-08-11T17:35:47Z,TypeChat is a library that makes it easy to build natural language interfaces using types.
40,LLM,LLMsPracticalGuide,5995,429,,https://github.com/Mooler0410/LLMsPracticalGuide,Mooler0410,6,2023-08-06T18:49:52Z,"A curated list of practical guide resources of LLMs (LLMs Tree, Examples, Papers)"
41,LLM,DB-GPT,5935,854,Python,https://github.com/eosphoros-ai/DB-GPT,eosphoros-ai,121,2023-08-14T07:30:08Z,Revolutionizing Database Interactions with Private LLM Technology
42,LLM,OpenLLM,5610,368,Python,https://github.com/bentoml/OpenLLM,bentoml,33,2023-08-15T02:39:12Z,Operating LLMs in production
43,LLM,e2b,5351,471,Python,https://github.com/e2b-dev/e2b,e2b-dev,3,2023-08-14T14:04:35Z,Monorepo for E2B - Operating System for AI Agents
44,LLM,openplayground,5258,370,TypeScript,https://github.com/nat/openplayground,nat,48,2023-08-04T22:22:54Z,An LLM playground you can run on your laptop
45,LLM,ollama,5233,283,C,https://github.com/jmorganca/ollama,jmorganca,68,2023-08-14T23:15:59Z,Get up and running with Llama 2 and other large language models locally
46,LLM,wenda,5169,665,JavaScript,https://github.com/wenda-LLM/wenda,wenda-LLM,26,2023-08-07T15:45:05Z,闻达：一个LLM调用平台。目标为针对特定环境的高效内容生成，同时考虑个人和中小企业的计算资源局限性，以及知识安全和私密性问题
47,LLM,vllm,5132,500,Python,https://github.com/vllm-project/vllm,vllm-project,206,2023-08-14T20:13:52Z,A high-throughput and memory-efficient inference and serving engine for LLMs
48,LLM,LLMSurvey,5028,388,Python,https://github.com/RUCAIBox/LLMSurvey,RUCAIBox,20,2023-08-09T02:16:33Z,"The official GitHub page for the survey paper ""A Survey of Large Language Models""."
49,LLM,GPTCache,4954,330,Python,https://github.com/zilliztech/GPTCache,zilliztech,12,2023-08-15T03:07:50Z,Semantic cache for LLMs. Fully integrated with LangChain and llama_index. 
50,LLM,WizardLM,4892,348,Python,https://github.com/nlpxucan/WizardLM,nlpxucan,107,2023-08-13T15:24:12Z,"Family of instruction-following LLMs powered by Evol-Instruct: WizardLM, WizardCoder and WizardMath"
51,LLM,PentestGPT,4799,521,Python,https://github.com/GreyDGL/PentestGPT,GreyDGL,18,2023-08-07T19:31:01Z,A GPT-empowered penetration testing tool
52,LLM,RealChar,4715,514,Swift,https://github.com/Shaunwei/RealChar,Shaunwei,39,2023-08-15T02:58:57Z,"🎙️🤖Create, Customize and Talk to your AI Character/Companion in Realtime (All in One Codebase!). Have a natural seamless conversation with AI everywhere (mobile, web and terminal) using LLM OpenAI GPT3.5/4, Anthropic Claude2, Chroma Vector DB, Whisper Speech2Text, ElevenLabs Text2Speech🎙️🤖"
53,LLM,llm,4587,249,Rust,https://github.com/rustformers/llm,rustformers,55,2023-08-13T00:27:14Z,An ecosystem of Rust libraries for working with large language models
54,LLM,txtai,4547,366,Python,https://github.com/neuml/txtai,neuml,10,2023-08-14T19:45:04Z,"💡 All-in-one open-source embeddings database for semantic search, LLM orchestration and language model workflows"
55,LLM,awesome-langchain,4477,276,,https://github.com/kyrolabs/awesome-langchain,kyrolabs,0,2023-08-11T21:41:53Z,😎 Awesome list of tools and projects with the awesome LangChain framework
56,LLM,OpenChat,4416,618,Blade,https://github.com/openchatai/OpenChat,openchatai,23,2023-08-15T02:17:46Z,LLMs custom-chatbots console ⚡
57,LLM,sweep,4368,159,Python,https://github.com/sweepai/sweep,sweepai,63,2023-08-15T02:46:49Z,Sweep: AI-powered Junior Developer for small features and bug fixes.
58,LLM,CodeGen,4229,313,Python,https://github.com/salesforce/CodeGen,salesforce,32,2023-08-14T15:47:47Z,CodeGen is a family of open-source model for program synthesis. Trained on TPU-v4. Competitive with OpenAI Codex.
59,LLM,Bard-API,4076,516,Python,https://github.com/dsdanielpark/Bard-API,dsdanielpark,24,2023-08-14T14:17:40Z,The unofficial python package that returns response of Google Bard through cookie value.
60,LLM,ai,4048,814,TypeScript,https://github.com/vercel/ai,vercel,35,2023-08-15T00:45:14Z,"Build AI-powered applications with React, Svelte, Vue, and Solid"
61,LLM,embedchain,3868,798,Python,https://github.com/embedchain/embedchain,embedchain,72,2023-08-14T23:52:02Z,Framework to easily create LLM powered bots over any dataset.
62,LLM,xiaogpt,3702,538,Python,https://github.com/yihong0618/xiaogpt,yihong0618,33,2023-08-04T11:00:09Z,Play ChatGPT and other LLM with Xiaomi AI Speaker
63,LLM,flyte,3653,372,Python,https://github.com/flyteorg/flyte,flyteorg,783,2023-08-15T03:07:53Z,"Scalable and flexible workflow orchestration platform that seamlessly unifies data, ML and analytics stacks."
64,LLM,Llama2-Chinese,3628,319,Python,https://github.com/FlagAlpha/Llama2-Chinese,FlagAlpha,52,2023-08-14T03:50:03Z,Llama中文社区，最好的中文Llama大模型，完全开源可商用
65,LLM,postgresml,3624,145,Rust,https://github.com/postgresml/postgresml,postgresml,50,2023-08-15T02:45:59Z,"PostgresML is an AI application database. Download open source models from Huggingface, or train your own, to create and index LLM embeddings, generate text, or make online predictions using only SQL. "
66,LLM,Learn_Prompting,3538,543,TeX,https://github.com/trigaten/Learn_Prompting,trigaten,69,2023-08-15T01:01:34Z,
67,LLM,Huatuo-Llama-Med-Chinese,3518,333,Python,https://github.com/SCIR-HI/Huatuo-Llama-Med-Chinese,SCIR-HI,15,2023-08-12T15:25:37Z,"Repo for BenTsao [original name: HuaTuo (华驼)], Instruction-tuning Large Language Models with Chinese Medical Knowledge. 本草（原名：华驼）模型仓库，基于中文医学知识的大语言模型指令微调"
68,LLM,llm-workflow-engine,3446,458,Python,https://github.com/llm-workflow-engine/llm-workflow-engine,llm-workflow-engine,5,2023-08-07T18:58:29Z,Power CLI and Workflow manager for LLMs (core package)
69,LLM,skypilot,3402,207,Python,https://github.com/skypilot-org/skypilot,skypilot-org,246,2023-08-15T01:19:43Z,"SkyPilot: Run LLMs, AI, and Batch jobs on any cloud. Get maximum savings, highest GPU availability, and managed execution—all with a simple interface."
70,LLM,FastGPT,3323,653,TypeScript,https://github.com/labring/FastGPT,labring,16,2023-08-14T08:56:15Z,"FastGPT is a knowledge-based question answering system based on the LLM language model, providing out-of-the-box capabilities for data processing, model invocation, and more. It also allows for complex question answering scenarios through visual workflow orchestration using Flow!"
71,LLM,researchgpt,3306,309,Python,https://github.com/mukulpatnaik/researchgpt,mukulpatnaik,6,2023-06-16T14:46:45Z,A LLM based research assistant that allows you to have a conversation with a research paper
72,LLM,khoj,3236,127,Python,https://github.com/khoj-ai/khoj,khoj-ai,55,2023-08-15T02:28:21Z,An AI personal assistant for your digital brain
73,LLM,GPT-4-LLM,3234,238,HTML,https://github.com/Instruction-Tuning-with-GPT-4/GPT-4-LLM,Instruction-Tuning-with-GPT-4,7,2023-06-11T13:40:30Z,Instruction Tuning with GPT-4
74,LLM,Luotuo-Chinese-LLM,3212,222,Jupyter Notebook,https://github.com/LC1332/Luotuo-Chinese-LLM,LC1332,2,2023-07-13T01:42:29Z,骆驼(Luotuo): Open Sourced Chinese Language Models. Developed by 陈启源 @ 华中师范大学 & 李鲁鲁 @ 商汤科技 & 冷子昂 @ 商汤科技
75,LLM,llm-numbers,3188,100,,https://github.com/ray-project/llm-numbers,ray-project,2,2023-05-23T18:46:14Z,Numbers every LLM developer should know
76,LLM,marvin,3162,334,Python,https://github.com/PrefectHQ/marvin,PrefectHQ,15,2023-08-14T22:12:14Z,✨ Build AI interfaces that spark joy
77,LLM,Qwen-7B,3121,214,Python,https://github.com/QwenLM/Qwen-7B,QwenLM,71,2023-08-15T03:03:48Z,The official repo of Qwen-7B (通义千问-7B) chat & pretrained large language model proposed by Alibaba Cloud.
78,LLM,tree-of-thought-llm,2944,230,Python,https://github.com/princeton-nlp/tree-of-thought-llm,princeton-nlp,0,2023-08-10T16:15:15Z,"Official Implementation of ""Tree of Thoughts: Deliberate Problem Solving with Large Language Models"""
79,LLM,LLM-As-Chatbot,2938,360,Python,https://github.com/deep-diver/LLM-As-Chatbot,deep-diver,16,2023-07-26T11:56:48Z,LLM as a Chatbot Service
80,LLM,llm-foundry,2928,317,Python,https://github.com/mosaicml/llm-foundry,mosaicml,55,2023-08-15T02:29:02Z,LLM training code for MosaicML foundation models
81,LLM,one-api,2924,671,Go,https://github.com/songquanpeng/one-api,songquanpeng,45,2023-08-15T02:41:13Z,"OpenAI 接口管理 & 分发系统，支持 Azure、Anthropic Claude、Google PaLM 2、智谱 ChatGLM、百度文心一言、讯飞星火认知以及阿里通义千问，可用于二次分发管理 key，仅单可执行文件，已打包好 Docker 镜像，一键部署，开箱即用. OpenAI key management & redistribution system, using a single API for all LLMs, and features an English UI."
82,LLM,paper-qa,2913,267,Python,https://github.com/whitead/paper-qa,whitead,36,2023-08-12T06:46:11Z,LLM Chain for answering questions from documents with citations
83,LLM,chainlit,2823,268,Python,https://github.com/Chainlit/chainlit,Chainlit,37,2023-08-14T11:25:18Z,Build Python LLM apps in minutes ⚡️
84,LLM,InternGPT,2807,211,Python,https://github.com/OpenGVLab/InternGPT,OpenGVLab,7,2023-07-24T07:17:46Z,"InternGPT (iGPT) is an open source demo platform where you can easily showcase your AI models. Now it supports DragGAN, ChatGPT, ImageBind, multimodal chat like GPT-4, SAM, interactive image editing, etc. Try it at igpt.opengvlab.com (支持DragGAN、ChatGPT、ImageBind、SAM的在线Demo系统)"
85,LLM,awesome-pretrained-chinese-nlp-models,2759,307,Python,https://github.com/lonePatient/awesome-pretrained-chinese-nlp-models,lonePatient,0,2023-08-15T02:06:06Z,Awesome Pretrained Chinese NLP Models，高质量中文预训练模型&大模型&多模态模型&大语言模型集合
86,LLM,LLaMA-Efficient-Tuning,2717,704,Python,https://github.com/hiyouga/LLaMA-Efficient-Tuning,hiyouga,43,2023-08-15T03:17:41Z,"Easy-to-use fine-tuning framework using PEFT (PT+SFT+RLHF with QLoRA) (LLaMA-2, BLOOM, Falcon, Baichuan, Qwen, ChatGLM2)"
87,LLM,alpa,2683,321,Python,https://github.com/alpa-projects/alpa,alpa-projects,53,2023-07-14T20:20:53Z,Training and serving large-scale neural networks with auto parallelization.
88,LLM,LLMZoo,2566,178,Python,https://github.com/FreedomIntelligence/LLMZoo,FreedomIntelligence,24,2023-07-25T10:33:29Z,"⚡LLM Zoo is a project that provides data, models, and evaluation benchmark for large language models.⚡"
89,LLM,towhee,2555,225,Python,https://github.com/towhee-io/towhee,towhee-io,16,2023-08-14T00:01:16Z,Towhee is a framework that is dedicated to making neural data processing pipelines simple and fast.
90,LLM,h2o-llmstudio,2501,260,Python,https://github.com/h2oai/h2o-llmstudio,h2oai,43,2023-08-14T17:49:33Z,H2O LLM Studio - a framework and no-code GUI for fine-tuning LLMs. Documentation: https://h2oai.github.io/h2o-llmstudio/
91,LLM,lance,2493,100,Rust,https://github.com/lancedb/lance,lancedb,98,2023-08-15T02:48:52Z,"Modern columnar data format for ML and LLMs implemented in Rust. Convert from parquet in 2 lines of code for 100x faster random access, vector index, and data versioning. Compatible with Pandas, DuckDB, Polars, Pyarrow, with more integrations coming.."
92,LLM,RWKV-Runner,2445,198,TypeScript,https://github.com/josStorer/RWKV-Runner,josStorer,70,2023-08-14T15:38:00Z,"A RWKV management and startup tool, full automation, only 8MB. And provides an interface compatible with the OpenAI API. RWKV is a large language model that is fully open source and available for commercial use."
93,LLM,unlocking-the-power-of-llms,2424,156,Shell,https://github.com/howl-anderson/unlocking-the-power-of-llms,howl-anderson,2,2023-05-11T16:04:16Z,使用 Prompts 和 Chains 让 ChatGPT 成为神奇的生产力工具！Unlocking the power of LLMs.
94,LLM,databerry,2419,281,TypeScript,https://github.com/gmpetrov/databerry,gmpetrov,70,2023-08-14T14:30:45Z,The no-code platform for building custom LLM Agents
95,LLM,Promptify,2415,171,Jupyter Notebook,https://github.com/promptslab/Promptify,promptslab,34,2023-08-04T22:12:49Z,"Prompt Engineering | Prompt Versioning | Use GPT or other prompt based models to get structured output. Join our discord for Prompt-Engineering, LLMs and other latest research"
96,LLM,ChatGPT-Admin-Web,2410,1106,TypeScript,https://github.com/AprilNEA/ChatGPT-Admin-Web,AprilNEA,10,2023-08-14T15:20:33Z,带有用户管理和后台管理系统的 ChatGPT WebUI
97,LLM,argilla,2391,226,Python,https://github.com/argilla-io/argilla,argilla-io,222,2023-08-14T14:16:48Z,✨Argilla: the open-source data curation platform for LLMs
98,LLM,AutoGPT-Next-Web,2379,1262,TypeScript,https://github.com/ConnectAI-E/AutoGPT-Next-Web,ConnectAI-E,23,2023-08-14T19:41:08Z,"🤖 Assemble, configure, and deploy autonomous AI Agents in your browser.一键免费部署你的私人AutoGPT 网页应用"
99,LLM,torchscale,2324,145,Python,https://github.com/microsoft/torchscale,microsoft,4,2023-08-11T08:46:37Z,Foundation Architecture for (M)LLMs
100,LLM,lit-gpt,2230,219,Python,https://github.com/Lightning-AI/lit-gpt,Lightning-AI,77,2023-08-14T18:24:06Z,"Hackable implementation of state-of-the-art open-source LLMs based on nanoGPT. Supports flash attention, 4-bit and 8-bit quantization, LoRA and LLaMA-Adapter fine-tuning, pre-training. Apache 2.0-licensed."
1,chatGPT,awesome-chatgpt-prompts,86154,11573,HTML,https://github.com/f/awesome-chatgpt-prompts,f,0,2023-08-13T15:27:46Z,This repo includes ChatGPT prompt curation to use ChatGPT better.
2,chatGPT,leetcode,51894,9380,JavaScript,https://github.com/azl397985856/leetcode,azl397985856,7,2023-08-10T00:51:55Z,推荐免费ChatGPT网站：www.lintcode.com/chat-gpt?utm_source=tf-github-lucifer  LeetCode Solutions: A Record of My Problem Solving Journey.( leetcode题解，记录自己的leetcode解题之路。)
3,chatGPT,openai-cookbook,45541,7450,Jupyter Notebook,https://github.com/openai/openai-cookbook,openai,93,2023-08-15T02:07:55Z,Examples and guides for using the OpenAI API
4,chatGPT,gpt4free,43982,11339,Python,https://github.com/xtekky/gpt4free,xtekky,182,2023-08-14T14:26:34Z,The official gpt4free repository | various collection of powerful language models
5,chatGPT,awesome-chatgpt-prompts-zh,42591,13018,,https://github.com/PlexPt/awesome-chatgpt-prompts-zh,PlexPt,35,2023-08-08T04:36:57Z,ChatGPT 中文调教指南。各种场景使用指南。学习怎么让它听你的话。
