rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,58293,7797,Python,https://github.com/langchain-ai/langchain,langchain-ai,2274,2023-08-12T03:11:17Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt_academic,39574,5213,Python,https://github.com/binary-husky/gpt_academic,binary-husky,312,2023-08-07T17:33:32Z,"为ChatGPT/GLM提供图形交互界面，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持清华chatglm2等本地模型。兼容复旦MOSS, llama, rwkv, newbing, claude, claude2等"
3,LLM,milvus,22060,2444,Go,https://github.com/milvus-io/milvus,milvus-io,587,2023-08-12T02:50:50Z,"A cloud-native vector database, storage for next generation AI applications"
4,LLM,JARVIS,21554,1887,Python,https://github.com/microsoft/JARVIS,microsoft,66,2023-07-28T09:59:24Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
5,LLM,llama_index,19993,2262,Python,https://github.com/jerryjliu/llama_index,jerryjliu,319,2023-08-12T01:01:12Z,LlamaIndex (GPT Index) is a data framework for your LLM applications
6,LLM,quivr,19804,2090,TypeScript,https://github.com/StanGirard/quivr,StanGirard,234,2023-08-11T19:56:01Z,"🧠 Dump all your files and chat with it using your Generative AI Second Brain using LLMs ( GPT 3.5/4, Private, Anthropic, VertexAI ) & Embeddings 🧠 "
7,LLM,MetaGPT,19103,2077,Python,https://github.com/geekan/MetaGPT,geekan,81,2023-08-11T17:40:52Z,"🌟 The Multi-Agent Framework: Given one line Requirement, return PRD, Design, Tasks, Repo"
8,LLM,mindsdb,17521,2239,Python,https://github.com/mindsdb/mindsdb,mindsdb,548,2023-08-11T20:12:59Z,MindsDB connects AI models to databases.
9,LLM,Mr.-Ranedeer-AI-Tutor,15586,1493,,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,JushBJJ,8,2023-07-15T10:58:29Z,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.
10,LLM,unilm,14937,2086,Python,https://github.com/microsoft/unilm,microsoft,380,2023-08-11T14:21:40Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
11,LLM,chatbox,14185,1502,TypeScript,https://github.com/Bin-Huang/chatbox,Bin-Huang,213,2023-08-09T13:17:55Z,"Chatbox is a desktop app for multiple cutting-edge LLM models that available on Windows, Mac, Linux"
12,LLM,Chinese-LLaMA-Alpaca,13850,1429,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,17,2023-08-11T02:46:04Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
13,LLM,langchain-ChatGLM,13493,2187,Python,https://github.com/chatchat-space/langchain-ChatGLM,chatchat-space,553,2023-08-12T02:44:08Z,"langchain-ChatGLM, local knowledge based ChatGLM with langchain ｜ 基于本地知识库的 ChatGLM 问答"
14,LLM,Flowise,13101,5264,TypeScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,130,2023-08-11T18:23:24Z,Drag & drop UI to build your customized LLM flow
15,LLM,dalai,12594,1425,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,295,2023-06-30T13:51:06Z,The simplest way to run LLaMA on your local machine
16,LLM,ChuanhuChatGPT,11962,1893,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,51,2023-08-11T14:33:58Z,GUI for ChatGPT API and many LLMs
17,LLM,mlc-llm,11596,810,Python,https://github.com/mlc-ai/mlc-llm,mlc-ai,100,2023-08-11T22:29:22Z,"Enable everyone to develop, optimize and deploy AI models natively on everyone's devices."
18,LLM,semantic-kernel,11474,1636,C#,https://github.com/microsoft/semantic-kernel,microsoft,293,2023-08-12T00:56:49Z,Integrate cutting-edge LLM technology quickly and easily into your apps
19,LLM,SuperAGI,11468,1311,Python,https://github.com/TransformerOptimus/SuperAGI,TransformerOptimus,134,2023-08-11T14:30:15Z,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably."
20,LLM,evals,11462,2223,Python,https://github.com/openai/evals,openai,70,2023-08-10T18:10:03Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
21,LLM,ChatGLM2-6B,11215,1817,Python,https://github.com/THUDM/ChatGLM2-6B,THUDM,241,2023-08-11T18:12:36Z,ChatGLM2-6B: An Open Bilingual Chat LLM | 开源双语对话语言模型
22,LLM,botpress,10847,1518,TypeScript,https://github.com/botpress/botpress,botpress,3,2023-08-11T20:24:12Z,The open-source hub to build & deploy GPT/LLM Agents ⚡️
