rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,57557,7647,Python,https://github.com/langchain-ai/langchain,langchain-ai,2195,2023-08-06T02:44:11Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt_academic,39244,5170,Python,https://github.com/binary-husky/gpt_academic,binary-husky,306,2023-08-06T00:40:40Z,"为ChatGPT/GLM提供图形交互界面，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持清华chatglm2等本地模型。兼容复旦MOSS, llama, rwkv, newbing, claude, claude2等"
3,LLM,milvus,21908,2430,Go,https://github.com/milvus-io/milvus,milvus-io,592,2023-08-05T15:47:13Z,"A cloud-native vector database, storage for next generation AI applications"
4,LLM,JARVIS,21495,1816,Python,https://github.com/microsoft/JARVIS,microsoft,66,2023-07-28T09:59:24Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
5,LLM,llama_index,19793,2228,Python,https://github.com/jerryjliu/llama_index,jerryjliu,307,2023-08-06T03:13:58Z,LlamaIndex (GPT Index) is a data framework for your LLM applications
6,LLM,quivr,19336,2031,TypeScript,https://github.com/StanGirard/quivr,StanGirard,247,2023-08-05T22:34:34Z,"🧠 Dump all your files and chat with it using your Generative AI Second Brain using LLMs ( GPT 3.5/4, Private, Anthropic, VertexAI ) & Embeddings 🧠 "
7,LLM,mindsdb,17453,2232,Python,https://github.com/mindsdb/mindsdb,mindsdb,530,2023-08-04T23:16:10Z,MindsDB connects AI models to databases.
8,LLM,Mr.-Ranedeer-AI-Tutor,15509,1485,,https://github.com/JushBJJ/Mr.-Ranedeer-AI-Tutor,JushBJJ,8,2023-07-15T10:58:29Z,A GPT-4 AI Tutor Prompt for customizable personalized learning experiences.
9,LLM,unilm,14859,2076,Python,https://github.com/microsoft/unilm,microsoft,374,2023-08-01T10:00:29Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
10,LLM,chatbox,14084,1496,TypeScript,https://github.com/Bin-Huang/chatbox,Bin-Huang,198,2023-08-04T12:33:36Z,"Chatbox is a desktop app for multiple cutting-edge LLM models that available on Windows, Mac, Linux"
11,LLM,Chinese-LLaMA-Alpaca,13683,1414,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,25,2023-08-01T09:09:25Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
12,LLM,langchain-ChatGLM,13176,2117,Python,https://github.com/chatchat-space/langchain-ChatGLM,chatchat-space,536,2023-08-05T15:35:27Z,"langchain-ChatGLM, local knowledge based ChatGLM with langchain ｜ 基于本地知识库的 ChatGLM 问答"
13,LLM,dalai,12562,1423,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,295,2023-06-30T13:51:06Z,The simplest way to run LLaMA on your local machine
14,LLM,Flowise,12222,4829,TypeScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,116,2023-08-05T22:48:22Z,Drag & drop UI to build your customized LLM flow
15,LLM,ChuanhuChatGPT,11901,1883,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,50,2023-08-04T15:40:43Z,GUI for ChatGPT API and many LLMs
16,LLM,evals,11409,2210,Python,https://github.com/openai/evals,openai,70,2023-08-05T13:19:02Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
17,LLM,semantic-kernel,11352,1614,C#,https://github.com/microsoft/semantic-kernel,microsoft,274,2023-08-06T01:36:41Z,Integrate cutting-edge LLM technology quickly and easily into your apps
18,LLM,mlc-llm,11283,781,Python,https://github.com/mlc-ai/mlc-llm,mlc-ai,88,2023-08-06T02:22:34Z,"Enable everyone to develop, optimize and deploy AI models natively on everyone's devices."
19,LLM,SuperAGI,11229,1271,Python,https://github.com/TransformerOptimus/SuperAGI,TransformerOptimus,128,2023-08-05T10:30:55Z,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably."
20,LLM,ChatGLM2-6B,10885,1771,Python,https://github.com/THUDM/ChatGLM2-6B,THUDM,225,2023-08-02T09:43:09Z,ChatGLM2-6B: An Open Bilingual Chat LLM | 开源双语对话语言模型
21,LLM,botpress,10804,1511,TypeScript,https://github.com/botpress/botpress,botpress,3,2023-08-05T21:17:20Z,The open-source hub to build & deploy GPT/LLM Agents ⚡️
22,LLM,haystack,10283,1329,Python,https://github.com/deepset-ai/haystack,deepset-ai,372,2023-08-04T16:09:47Z,":mag: LLM orchestration framework to build customizable, production-ready LLM applications. Connect components (Models, Vector DBs, File Converters) to Pipelines or Agents that can interact with your data. With advanced retrieval methods, it's best suited for building RAG, question answering, semantic search and conversational agent"
23,LLM,MetaGPT,9937,1227,Python,https://github.com/geekan/MetaGPT,geekan,40,2023-08-05T21:52:40Z,"🌟 The Multi-Agent Framework: Given one line Requirement, return PRD, Design, Tasks, Repo"
24,LLM,PaddleNLP,9851,2602,Python,https://github.com/PaddlePaddle/PaddleNLP,PaddlePaddle,494,2023-08-05T15:28:57Z,"👑 Easy-to-use and powerful NLP library with 🤗 Awesome model zoo, supporting wide-range of NLP tasks from research to industrial applications, including 🗂Text Classification,  🔍 Neural Search, ❓ Question Answering, ℹ️ Information Extraction, 📄 Document Intelligence, 💌 Sentiment Analysis etc."
