rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,67435,9727,Python,https://github.com/langchain-ai/langchain,langchain-ai,1670,2023-11-08T03:14:05Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt4all,54317,5948,C++,https://github.com/nomic-ai/gpt4all,nomic-ai,251,2023-11-07T19:42:21Z,gpt4all: open-source LLM chatbots that you can run anywhere
3,LLM,gpt_academic,45039,5893,Python,https://github.com/binary-husky/gpt_academic,binary-husky,296,2023-11-07T14:55:55Z,"为ChatGPT/GLM提供实用化交互界面，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持chatglm2等本地模型。兼容文心一言, moss, llama2, rwkv, claude2, 通义千问, 书生, 讯飞星火等。"
4,LLM,MetaGPT,30438,3538,Python,https://github.com/geekan/MetaGPT,geekan,148,2023-11-07T12:47:00Z,"🌟 The Multi-Agent Framework: Given one line Requirement, return PRD, Design, Tasks, Repo"
5,LLM,quivr,24100,2597,TypeScript,https://github.com/StanGirard/quivr,StanGirard,135,2023-11-07T18:05:44Z," 🧠 Your Second Brain supercharged by Generative AI 🧠  Alternative to OpenAI GPTs & Your personal assistant to chat with your files (PDF, CSV)  & apps using GPT 3.5 / 4 turbo, Private, Anthropic, VertexAI, LLMs that you can share with users ! "
6,LLM,milvus,23860,2584,Go,https://github.com/milvus-io/milvus,milvus-io,436,2023-11-08T03:10:46Z,"A cloud-native vector database, storage for next generation AI applications"
7,LLM,llama_index,23388,2845,Python,https://github.com/run-llama/llama_index,run-llama,177,2023-11-08T03:02:13Z,LlamaIndex (formerly GPT Index) is a data framework for your LLM applications
8,LLM,JARVIS,22058,1895,Python,https://github.com/microsoft/JARVIS,microsoft,69,2023-10-24T17:41:40Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
9,LLM,mindsdb,18790,2521,Python,https://github.com/mindsdb/mindsdb,mindsdb,512,2023-11-08T02:29:53Z,MindsDB connects AI models to real time data
10,LLM,Langchain-Chatchat,17866,3027,Python,https://github.com/chatchat-space/Langchain-Chatchat,chatchat-space,38,2023-11-07T13:00:54Z,"Langchain-Chatchat（原Langchain-ChatGLM）基于 Langchain 与 ChatGLM 等语言模型的本地知识库问答 | Langchain-Chatchat (formerly langchain-ChatGLM), local knowledge based LLM (like ChatGLM) QA app with langchain "
