rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,53155,6763,Python,https://github.com/hwchase17/langchain,hwchase17,1857,2023-07-09T01:17:55Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt_academic,37641,4863,Python,https://github.com/binary-husky/gpt_academic,binary-husky,303,2023-07-08T19:37:57Z,"为ChatGPT/GLM提供图形交互界面，特别优化论文阅读/润色/写作体验，模块化设计，支持自定义快捷按钮&函数插件，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持清华chatglm等本地模型。兼容复旦MOSS, llama, rwkv, 盘古, newbing, claude等"
3,LLM,JARVIS,21256,1751,Python,https://github.com/microsoft/JARVIS,microsoft,64,2023-06-30T12:32:58Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
4,LLM,milvus,21020,2346,Go,https://github.com/milvus-io/milvus,milvus-io,564,2023-07-08T09:00:46Z,"A cloud-native vector database, storage for next generation AI applications"
5,LLM,llama_index,18654,2040,Python,https://github.com/jerryjliu/llama_index,jerryjliu,365,2023-07-09T03:21:17Z,LlamaIndex (GPT Index) is a data framework for your LLM applications
6,LLM,mindsdb,17194,2195,Python,https://github.com/mindsdb/mindsdb,mindsdb,506,2023-07-07T18:39:05Z,"MindsDB is a Server for Artificial Intelligence Logic. Enabling developers to ship to production AI powered projects (from the latest LLMs, vector operations, state of the art time-series forecasting to Machine Learning) in a fast and scalable way. "
7,LLM,unilm,13523,1950,Python,https://github.com/microsoft/unilm,microsoft,353,2023-07-06T10:00:35Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
8,LLM,chatbox,13215,1389,TypeScript,https://github.com/Bin-Huang/chatbox,Bin-Huang,244,2023-07-04T13:53:53Z,"Chatbox is a desktop app for GPT/LLM that supports Windows, Mac, Linux & Web Online"
9,LLM,Chinese-LLaMA-Alpaca,12311,1287,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,25,2023-07-08T00:07:12Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
10,LLM,dalai,12278,1407,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,292,2023-06-30T13:51:06Z,The simplest way to run LLaMA on your local machine
11,LLM,ChuanhuChatGPT,11544,1828,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,53,2023-07-08T16:44:49Z,GUI for ChatGPT API and many LLMs
12,LLM,langchain-ChatGLM,11337,1764,Python,https://github.com/imClumsyPanda/langchain-ChatGLM,imClumsyPanda,413,2023-07-07T17:46:02Z,"langchain-ChatGLM, local knowledge based ChatGLM with langchain ｜ 基于本地知识库的 ChatGLM 问答"
13,LLM,evals,11055,2168,Python,https://github.com/openai/evals,openai,71,2023-07-09T02:05:54Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
14,LLM,semantic-kernel,10721,1466,C#,https://github.com/microsoft/semantic-kernel,microsoft,211,2023-07-08T21:33:57Z,Integrate cutting-edge LLM technology quickly and easily into your apps
15,LLM,botpress,10568,1467,TypeScript,https://github.com/botpress/botpress,botpress,4,2023-07-08T16:44:54Z,The open-source hub to build & deploy GPT/LLM Agents ⚡️
