rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,41847,4700,Python,https://github.com/hwchase17/langchain,hwchase17,1255,2023-05-25T02:17:52Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt_academic,34180,4184,Python,https://github.com/binary-husky/gpt_academic,binary-husky,225,2023-05-25T02:17:37Z,"为GPT/GLM提供图形交互界面，特别优化论文阅读润色体验，模块化设计支持自定义快捷按钮&函数插件，支持代码块表格显示，Tex公式双显示，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持清华chatglm等本地模型。兼容复旦MOSS, llama, rwkv, 盘古等。"
3,LLM,JARVIS,20584,1671,Python,https://github.com/microsoft/JARVIS,microsoft,54,2023-05-15T15:19:28Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
4,LLM,milvus,18862,2176,Go,https://github.com/milvus-io/milvus,milvus-io,480,2023-05-25T03:15:03Z,"A cloud-native vector database, storage for next generation AI applications"
5,LLM,llama_index,15875,1670,Python,https://github.com/jerryjliu/llama_index,jerryjliu,311,2023-05-25T03:18:20Z,LlamaIndex (GPT Index) is a project that provides a central interface to connect your LLM's with external data.
6,LLM,unilm,12427,1826,Python,https://github.com/microsoft/unilm,microsoft,322,2023-05-19T13:07:07Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
7,LLM,dalai,11690,1347,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,289,2023-05-21T06:39:45Z,The simplest way to run LLaMA on your local machine
8,LLM,ChuanhuChatGPT,10545,1623,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,52,2023-05-24T17:56:26Z,GUI for ChatGPT API and many LLMs
9,LLM,evals,9668,1849,Python,https://github.com/openai/evals,openai,55,2023-05-25T01:32:50Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
10,LLM,Chinese-LLaMA-Alpaca,9385,950,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,75,2023-05-24T03:12:16Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU部署 (Chinese LLaMA & Alpaca LLMs)
11,LLM,semantic-kernel,9137,1093,C#,https://github.com/microsoft/semantic-kernel,microsoft,85,2023-05-25T02:41:39Z,Integrate cutting-edge LLM technology quickly and easily into your apps
12,LLM,haystack,8876,1208,Python,https://github.com/deepset-ai/haystack,deepset-ai,321,2023-05-24T21:47:14Z,":mag: Haystack is an open source NLP framework to interact with your data using Transformer models and LLMs (GPT-4, ChatGPT and alike). Haystack offers production-ready tools to quickly build complex question answering, semantic search, text generation applications, and more."
13,LLM,RWKV-LM,7471,490,Python,https://github.com/BlinkDL/RWKV-LM,BlinkDL,24,2023-05-23T03:44:13Z,"RWKV is an RNN with transformer-level LLM performance. It can be directly trained like a GPT (parallelizable). So it's combining the best of RNN and transformer - great performance, fast inference, saves VRAM, fast training, ""infinite"" ctx_len, and free sentence embedding."
14,LLM,mlc-llm,7025,459,Python,https://github.com/mlc-ai/mlc-llm,mlc-ai,82,2023-05-25T02:22:33Z,"Enable everyone to develop, optimize and deploy AI models natively on everyone's devices."
15,LLM,langchain-ChatGLM,6886,898,Python,https://github.com/imClumsyPanda/langchain-ChatGLM,imClumsyPanda,217,2023-05-25T02:58:32Z,"langchain-ChatGLM, local knowledge based ChatGLM with langchain ｜ 基于本地知识库的 ChatGLM 问答"
16,LLM,pandas-ai,6491,407,Python,https://github.com/gventuri/pandas-ai,gventuri,25,2023-05-25T00:26:30Z,"Pandas AI is a Python library that integrates generative artificial intelligence capabilities into Pandas, making dataframes conversational"
17,LLM,peft,6135,433,Python,https://github.com/huggingface/peft,huggingface,121,2023-05-22T15:47:33Z,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.
18,LLM,deeplake,5984,466,Python,https://github.com/activeloopai/deeplake,activeloopai,49,2023-05-24T19:04:48Z,"AI Vector Database for LLMs/LangChain. Doubles as a Data Lake for Deep Learning. Store, query, version, & visualize any data. Stream data in real-time to PyTorch/TensorFlow. https://activeloop.ai"
19,LLM,web-llm,5849,304,TypeScript,https://github.com/mlc-ai/web-llm,mlc-ai,43,2023-05-25T03:00:43Z,Bringing large-language models and chat to web browsers. Everything runs inside the browser with no server support.
20,LLM,open-llms,5573,269,,https://github.com/eugeneyan/open-llms,eugeneyan,2,2023-05-23T17:26:26Z,🤖 A list of open LLMs available for commercial use.
21,LLM,Flowise,5539,1153,JavaScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,25,2023-05-24T23:37:00Z,Drag & drop UI to build your customized LLM flow using LangchainJS
