rank,item,repo_name,stars,forks,language,repo_url,username,issues,last_commit,description
1,LLM,langchain,48013,5747,Python,https://github.com/hwchase17/langchain,hwchase17,1554,2023-06-16T03:19:04Z,⚡ Building applications with LLMs through composability ⚡
2,LLM,gpt_academic,35969,4483,Python,https://github.com/binary-husky/gpt_academic,binary-husky,281,2023-06-15T06:17:28Z,"为ChatGPT/GLM提供图形交互界面，特别优化论文阅读润色体验，模块化设计支持自定义快捷按钮&函数插件，支持代码块表格显示，Tex公式双显示，支持Python和C++等项目剖析&自译解功能，PDF/LaTex论文翻译&总结功能，支持并行问询多种LLM模型，支持清华chatglm等本地模型。兼容复旦MOSS, llama, rwkv, 盘古, newbing, claude等"
3,LLM,JARVIS,21007,1719,Python,https://github.com/microsoft/JARVIS,microsoft,60,2023-06-09T22:52:32Z,"JARVIS, a system to connect LLMs with ML community. Paper: https://arxiv.org/pdf/2303.17580.pdf"
4,LLM,milvus,19937,2260,Go,https://github.com/milvus-io/milvus,milvus-io,512,2023-06-16T03:12:22Z,"A cloud-native vector database, storage for next generation AI applications"
5,LLM,llama_index,17441,1876,Python,https://github.com/jerryjliu/llama_index,jerryjliu,287,2023-06-15T23:23:56Z,LlamaIndex (GPT Index) is a data framework for your LLM applications
6,LLM,mindsdb,16605,2130,Python,https://github.com/mindsdb/mindsdb,mindsdb,578,2023-06-16T02:24:42Z,MindsDB is a Server for Artificial Intelligence Logic. Enabling developers to ship AI powered projects to production in a fast and scalable way. 
7,LLM,unilm,12770,1868,Python,https://github.com/microsoft/unilm,microsoft,336,2023-06-15T13:42:48Z,"Large-scale Self-supervised Pre-training Across Tasks, Languages, and Modalities"
8,LLM,chatbox,12723,1323,TypeScript,https://github.com/Bin-Huang/chatbox,Bin-Huang,284,2023-06-15T08:38:28Z,"Chatbox is a desktop app for GPT/LLM that supports Windows, Mac, Linux & Web Online"
9,LLM,dalai,12049,1386,CSS,https://github.com/cocktailpeanut/dalai,cocktailpeanut,291,2023-06-12T17:24:00Z,The simplest way to run LLaMA on your local machine
10,LLM,ChuanhuChatGPT,11167,1729,Python,https://github.com/GaiZhenbiao/ChuanhuChatGPT,GaiZhenbiao,54,2023-06-15T07:47:34Z,GUI for ChatGPT API and many LLMs
11,LLM,Chinese-LLaMA-Alpaca,11052,1150,Python,https://github.com/ymcui/Chinese-LLaMA-Alpaca,ymcui,57,2023-06-16T03:13:30Z,中文LLaMA&Alpaca大语言模型+本地CPU/GPU训练部署 (Chinese LLaMA & Alpaca LLMs)
12,LLM,evals,10589,2024,Python,https://github.com/openai/evals,openai,67,2023-06-16T02:36:45Z,"Evals is a framework for evaluating LLMs and LLM systems, and an open-source registry of benchmarks."
13,LLM,semantic-kernel,10213,1320,C#,https://github.com/microsoft/semantic-kernel,microsoft,100,2023-06-16T03:07:45Z,Integrate cutting-edge LLM technology quickly and easily into your apps
14,LLM,mlc-llm,9910,650,Python,https://github.com/mlc-ai/mlc-llm,mlc-ai,60,2023-06-16T03:10:00Z,"Enable everyone to develop, optimize and deploy AI models natively on everyone's devices."
15,LLM,langchain-ChatGLM,9267,1297,Python,https://github.com/imClumsyPanda/langchain-ChatGLM,imClumsyPanda,321,2023-06-15T11:43:03Z,"langchain-ChatGLM, local knowledge based ChatGLM with langchain ｜ 基于本地知识库的 ChatGLM 问答"
16,LLM,haystack,9149,1241,Python,https://github.com/deepset-ai/haystack,deepset-ai,314,2023-06-15T16:32:24Z,":mag: Haystack is an open source NLP framework to interact with your data using Transformer models and LLMs (GPT-4, ChatGPT and alike). Haystack offers production-ready tools to quickly build complex question answering, semantic search, text generation applications, and more."
17,LLM,RWKV-LM,8446,567,Python,https://github.com/BlinkDL/RWKV-LM,BlinkDL,21,2023-06-15T21:52:39Z,"RWKV is an RNN with transformer-level LLM performance. It can be directly trained like a GPT (parallelizable). So it's combining the best of RNN and transformer - great performance, fast inference, saves VRAM, fast training, ""infinite"" ctx_len, and free sentence embedding."
18,LLM,Flowise,8443,2249,TypeScript,https://github.com/FlowiseAI/Flowise,FlowiseAI,65,2023-06-16T01:32:59Z,Drag & drop UI to build your customized LLM flow using LangchainJS
19,LLM,SuperAGI,7659,743,Python,https://github.com/TransformerOptimus/SuperAGI,TransformerOptimus,143,2023-06-15T14:47:45Z,"<⚡️> SuperAGI - A dev-first open source autonomous AI agent framework. Enabling developers to build, manage & run useful autonomous agents quickly and reliably."
20,LLM,pandas-ai,7202,485,Python,https://github.com/gventuri/pandas-ai,gventuri,36,2023-06-15T23:01:35Z,"Pandas AI is a Python library that integrates generative artificial intelligence capabilities into Pandas, making dataframes conversational"
21,LLM,peft,7068,502,Python,https://github.com/huggingface/peft,huggingface,126,2023-06-16T01:50:44Z,🤗 PEFT: State-of-the-art Parameter-Efficient Fine-Tuning.
